S	mi	tpr	fpr	thr
SBS1	m0	0.300065659881812	0.00813150301652532	1.3817927
SBS1	m1	0.76080023195129	0.00999104251360849	0.088274925
SBS1	m2	0.943098920338489	0.00993994615862492	-0.96099827
SBS1	m3	0.96635903542721	0.00994363164228262	-2.01203065
SBS2.13	m0	0.531769722814499	0.00996869335969686	0.84993212
SBS2.13	m1	0.927361469997129	0.00994543822087157	-0.16654539
SBS2.13	m2	0.988265598168289	0.00998613037447993	-3.04758335
SBS2.13	m3	0.996967071057192	0.00984035232590141	-5.21271225
SBS4	m0	0.55596196049744	0.00998780115888986	0.145401655
SBS4	m1	0.971312662996233	0.00999241954379437	-1.8995132
SBS4	m2	0.997609085475194	0.00995332235035695	-5.39784215
SBS4	m3	0.999294905693637	0.00979591836734695	-5.39189465
SBS17	m0	0.493963068181818	0.00805691265963826	0.7174399
SBS17	m1	0.877551020408163	0.00994444825457785	-0.760641735
SBS17	m2	0.973776223776224	0.00994337798646594	-2.80819055
SBS17	m3	0.981347438752784	0.0070712265363847	-4.18070765
SBS31	m0	0.400928239914316	0.00992980653997599	1.39418715
SBS31	m1	0.847813238770686	0.0099464947180683	-0.029484879
SBS31	m2	0.953378577751549	0.00998278829604127	-1.79585115
SBS31	m3	0.966693966693967	0.00994510816919603	-2.81504095
SBS92	m0	0.255515311162331	0.00995981128778611	1.30337785
SBS92	m1	0.756855064353665	0.00993883792048933	0.43247664
SBS92	m2	0.915043748235958	0.00995059494815953	-0.612079515
SBS92	m3	0.917048208995421	0.00783932620667316	-0.995177025
SBS109	m0	0.318956870611836	0.00844065436825614	0.8955596
SBS109	m1	0.79324055666004	0.00997160861436186	-0.05707991
SBS109	m2	0.929338103756708	0.00995879120879117	-0.69574363
SBS109	m3	0.977727657175077	0.00999935901544768	-2.6760341
