S	mi	tpr	fpr	thr
SBS1	m0	0.193795480658751	0.00863557858376507	0.0747357
SBS1	m1	0.609677419354839	0.00995057660626031	-0.027795434
SBS1	m2	0.801119402985075	0.00997440776953873	-0.21401316
SBS1	m3	0.764829617164493	0.00996366193881137	-1.5797473
SBS2.13	m0	0.562049639711769	0.00822593912805047	0.6409605
SBS2.13	m1	0.907126611068992	0.00998238402818552	-0.980270065
SBS2.13	m2	0.981280419318607	0.00996852046169994	-2.1322608
SBS2.13	m3	0.982834994462901	0.0092247425285904	-2.9454617
SBS3	m0	0.253244199764058	0.00997043251048613	0.46678251
SBS3	m1	0.737218045112782	0.00999673309376026	-0.0533688285
SBS3	m2	0.931903686982694	0.00996002883166236	-1.3148809
SBS3	m3	0.964548067709997	0.0099950944321805	-2.7901282
SBS5	m0	0.0818802122820318	0.00996677740863783	-0.177912815
SBS5	m1	0.473684210526316	0.00997753402933788	0.391087985
SBS5	m2	0.759715994020927	0.00997179032998752	0.258186015
SBS5	m3	0.689021956087824	0.00997992205031295	-0.84285692
SBS8	m0	0.186222558667676	0.00996953752423146	0.746777595
SBS8	m1	0.692950581395349	0.00999145467692109	0.525798055
SBS8	m2	0.912606917069543	0.0099803020354563	-0.82132035
SBS8	m3	0.912264442384924	0.00987532403406988	-2.37249145
SBS17	m0	0.575260804769002	0.00847104568809887	0.517802765
SBS17	m1	0.929006812477591	0.00994992092778069	-1.40527225
SBS17	m2	0.98961937716263	0.0099807039723202	-2.6630143
SBS17	m3	0.997330485851575	0.00994073790862171	-5.4253365
SBS18	m0	0.251000363768643	0.00997419264839228	0.74564873
SBS18	m1	0.665395284327323	0.00994629003381742	0.286844915
SBS18	m2	0.892484342379958	0.0099700897308076	-0.493889425
SBS18	m3	0.911485774499473	0.00994455159112828	-1.80902855
SBS26	m0	0.268980477223427	0.00994519991881471	0.61778108
SBS26	m1	0.789056603773585	0.00999020568070519	0.07690821
SBS26	m2	0.929213483146067	0.00996786674536032	-1.6166323
SBS26	m3	0.944543828264758	0.00991884580703339	-2.9013899
SBS31	m0	0.222026120720085	0.00799831614396973	0.513104965
SBS31	m1	0.716684530189353	0.00995648160358698	0.13966197
SBS31	m2	0.883786647827623	0.00994167550371161	-0.66488315
SBS31	m3	0.916422764227642	0.00977756049865564	-2.6845057
SBS44	m0	0.279357798165138	0.00999597477525827	0.944967895
SBS44	m1	0.922765722692166	0.00996982815164638	-0.03412015
SBS44	m2	0.994069681245367	0.00998620327179556	-3.10614755
SBS44	m3	0.99375	0.00987637267767116	-3.8654014
