S	mi	tpr	fpr	thr
SBS1	m0	0.440975609756098	0.00997326753033112	0.63099487
SBS1	m1	0.841575362748001	0.00996211589729201	-0.43783984
SBS1	m2	0.952897516414502	0.00996201533720342	-1.693477
SBS1	m3	0.963110667996012	0.0099430534213143	-2.8243163
SBS3	m0	0.13507809202195	0.00999255873285854	0.986247955
SBS3	m1	0.613931523022432	0.00996980973109596	1.3528134
SBS3	m2	0.865970409051349	0.0099935755585695	-0.38840771
SBS3	m3	0.896089790007241	0.00999115826702035	-1.22162735
SBS5	m0	0.19524697110904	0.00996884735202497	0.68439378
SBS5	m1	0.705547226386807	0.00993284834918862	0.58204955
SBS5	m2	0.889787361485475	0.00998795778139827	0.266973315
SBS5	m3	0.876169098391321	0.00991315027633999	-0.141858115
SBS8	m0	0.216148445336008	0.00971171539562465	0.95682888
SBS8	m1	0.748176247446746	0.00999718389186144	0.36708093
SBS8	m2	0.909495548961424	0.00993894647167404	-0.768438
SBS8	m3	0.939987163029525	0.00994888645491054	-1.5653875
SBS11	m0	0.67027027027027	0.00995299972352781	0.39341989
SBS11	m1	0.948742746615087	0.00998003992015972	-0.335126815
SBS11	m2	0.991147831218649	0.00995237079690059	-2.81199415
SBS11	m3	0.993051031487514	0.00992922784409001	-3.29974575
SBS120	m0	0.244764397905759	0.00991142977646564	1.1124984
SBS120	m1	0.744133446423523	0.00993330495246203	0.7319861
SBS120	m2	0.915995397008055	0.00994277539341915	-0.16785797
SBS120	m3	0.932203389830508	0.0099430534213143	-1.65308535
SBS126	m0	0.15495706479313	0.00998480573041027	1.24152255
SBS126	m1	0.609537572254335	0.00994989767835719	0.87230463
SBS126	m2	0.780578898225957	0.00996980973109596	0.06318865
SBS126	m3	0.750905797101449	0.00783884018880643	-0.423676825
