S	mi	tpr	fpr	thr
SBS1	m0	0.441782729805014	0.0477462080751976	-0.5321607
SBS1	m1	0.752009646302251	0.04999271243259	-1.349527
SBS1	m2	0.885111371629543	0.0499479708636836	-1.91671835
SBS1	m3	0.872758326216909	0.0499252480405926	-1.8659698
SBS2.13	m0	0.596899224806202	0.0468399101700353	-1.04433575
SBS2.13	m1	0.757062146892655	0.049967646847365	-1.72708315
SBS2.13	m2	0.874708171206226	0.0499837292547999	-1.87602825
SBS2.13	m3	0.905396618985696	0.0395824078187472	-2.66732405
SBS5	m0	0.353680430879713	0.0499683744465528	-0.33749338
SBS5	m1	0.763063422417232	0.0499890534919361	-0.990139965
SBS5	m2	0.899525027402265	0.0499407816818003	-2.1101886
SBS5	m3	0.871991807475678	0.0499538745387453	-2.7161753
SBS6	m0	0.582191780821918	0.0499113723295084	-2.1307426
SBS6	m1	0.939572921399364	0.0499678777928475	-2.1698866
SBS6	m2	0.981139646869984	0.0499902868613611	-3.4554552
SBS6	m3	0.983531564501372	0.0366780975100641	-2.5934299
SBS10	m0	0.91025641025641	0.0499142521888257	-4.277024
SBS10	m1	0.994496855345912	0.0499397509706788	-5.107876
SBS10	m2	1	0.0499707583338749	-5.9575529
SBS10	m3	1	0.0490509703561527	-6.26299685
SBS17	m0	0.551660516605166	0.0499422935683559	-0.404576375
SBS17	m1	0.787917194761301	0.0499891641985118	-1.2992801
SBS17	m2	0.885880077369439	0.0499674267100977	-2.23771425
SBS17	m3	0.850891861761427	0.0499590871897445	-2.53680265
SBS18	m0	0.55982905982906	0.0499730748519117	-0.293740525
SBS18	m1	0.77150974025974	0.0499781754692274	-1.27517325
SBS18	m2	0.882720588235294	0.0499507065395991	-1.4963039
SBS18	m3	0.806424813071171	0.014061433447099	-1.31991965
SBS26	m0	0.572902338376891	0.0499845408636505	-0.7792453
SBS26	m1	0.806636624334289	0.0499673178880093	-1.54397965
SBS26	m2	0.883532587736213	0.0499934819449876	-2.43340825
SBS26	m3	0.860129776496035	0.0498949824970828	-2.73159305
SBS44	m0	0.432914046121593	0.0499852984416348	-0.92893965
SBS44	m1	0.839688041594454	0.0499928067903899	-1.155237
SBS44	m2	0.940866747671122	0.0499806026121815	-2.4542606
SBS44	m3	0.947923533289387	0.049964345139054	-2.6230357
SBS88	m0	0.443820224719101	0.0498967279052071	-0.50797653
SBS88	m1	0.698590381426202	0.0499347731555297	-1.31080495
SBS88	m2	0.825493171471927	0.0499379044381986	-1.7266923
SBS88	m3	0.78617083091226	0.0499909682080925	-2.39746335
SBS28	m0	0.370886781929727	0.0493378897906878	-0.302938315
SBS28	m1	0.711799660441426	0.0499494730763679	-0.920310615
SBS28	m2	0.836243694218083	0.0499413986196119	-1.6645291
SBS28	m3	0.777385159010601	0.0499774673276251	-2.151147
