S	mi	tpr	fpr	thr
SBS1	m0	0.0835866261398176	0.00998920086393085	0.32910186
SBS1	m1	0.405597014925373	0.00999211149092827	0.590131625
SBS1	m2	0.735640928109547	0.00997150997150997	-0.088698865
SBS1	m3	0.84208134514883	0.00989733362877609	-0.7626468
SBS2.13	m0	0.579913606911447	0.00996973473384366	0.212285595
SBS2.13	m1	0.875324675324675	0.00993617161281835	-0.78475585
SBS2.13	m2	0.98578563196312	0.00995475113122168	-2.99767895
SBS2.13	m3	0.996311475409836	0.00996278055566002	-5.9260025
SBS3.8	m0	0.11744127936032	0.0099233198015336	0.38086363
SBS3.8	m1	0.52129221732746	0.00995516877637126	0.37708623
SBS3.8	m2	0.809996184662343	0.00996634739839508	-0.40088696
SBS3.8	m3	0.919101123595506	0.00998927078323286	-1.92278515
SBS5	m0	0.04199604743083	0.00994395226902911	0.01182040575
SBS5	m1	0.282178217821782	0.00995676667103362	0.80980879
SBS5	m2	0.626083678854127	0.00998702983138777	0.74234005
SBS5	m3	0.786651583710407	0.0099781957943752	0.17325473
SBS10	m0	0.519316493313522	0.00834752981260645	0.148489075
SBS10	m1	0.931876606683805	0.00996272014397737	-1.1691645
SBS10	m2	0.992323232323232	0.00993717143223494	-4.212023
SBS10	m3	0.996485747754783	0.00944720567591151	-5.31573265
SBS14	m0	0.162482566248257	0.00995537246824585	0.058766805
SBS14	m1	0.675696012039127	0.00997768150190359	0.814848095
SBS14	m2	0.940981187753596	0.00995964067178756	-0.68989615
SBS14	m3	0.9849157054126	0.00998297477170718	-1.79979055
SBS17	m0	0.383172256964184	0.00997616314999561	0.54464327
SBS17	m1	0.780806572068708	0.00999079794925728	-0.0206557215
SBS17	m2	0.957989497374344	0.0099954566106315	-1.84946575
SBS17	m3	0.990273101384213	0.0099873722879118	-3.17945635
SBS18	m0	0.144008056394763	0.00990990990990992	0.098052068
SBS18	m1	0.521034349671941	0.00999934644794453	0.06596358
SBS18	m2	0.801100628930818	0.00998132526241224	-0.38072434
SBS18	m3	0.93298969072165	0.00984895814192788	-2.47109775
SBS26	m0	0.286908077994429	0.00995708154506436	0.0076221591
SBS26	m1	0.771923076923077	0.00993983782369867	0.0662759
SBS26	m2	0.963541666666667	0.00994475138121542	-0.8607712
SBS26	m3	0.98936170212766	0.00998962615745191	-3.1551181
SBS31	m0	0.246852764094143	0.00994759747757346	0.235538585
SBS31	m1	0.636150234741784	0.00997652582159625	-0.06717194
SBS31	m2	0.916992952231793	0.00998775694310206	-0.166755825
SBS31	m3	0.972222222222222	0.00980063350102478	-2.3810816
SBS44	m0	0.143475126171593	0.00991537738268233	-0.1050303
SBS44	m1	0.638999205718825	0.0099518667880838	0.54709863
SBS44	m2	0.944553676759733	0.00998068254990336	-1.01251175
SBS44	m3	0.984563253012048	0.00997439523063404	-2.4208727
