S	mi	tpr	fpr	thr
SBS5	m0	0.188634569850039	0.00997932212532593	0.45910705
SBS5	m1	0.715798511734402	0.00998431036941949	0.504761515
SBS5	m2	0.923004987531172	0.00996063940878789	-0.94828487
SBS5	m3	0.864972200158856	0.00986012382481083	-1.79654705
SBS40	m0	0.226082817705854	0.00995154032537215	0.65668544
SBS40	m1	0.771806167400881	0.00999220466302886	0.7816863
SBS40	m2	0.945962542216764	0.00991935483870965	-1.0337048
SBS40	m3	0.951641791044776	0.00988593155893536	-2.30793565
SBS17	m0	0.442014032191498	0.00943564180167344	0.57346978
SBS17	m1	0.814285714285714	0.00993284834918862	0.077406547
SBS17	m2	0.925340990667624	0.00994483723098438	-0.728834715
SBS17	m3	0.906197654941373	0.00994125621328512	-1.21175315
SBS18	m0	0.34251968503937	0.00989475577943688	0.67082123
SBS18	m1	0.845419277827514	0.00995411224849985	-0.709181
SBS18	m2	0.96142991533396	0.00994546037856914	-2.0516205
SBS18	m3	0.94973544973545	0.00980829246544801	-3.1081345
SBS35	m0	0.381428571428571	0.00994749930920147	1.4429973
SBS35	m1	0.788340807174888	0.00994989767835719	-0.0455375425
SBS35	m2	0.90088809946714	0.00996729481389191	-0.656846485
SBS35	m3	0.858258928571429	0.00994919559695173	-1.8465535
SBS52	m0	0.464591790708164	0.00804195804195806	0.36982563
SBS52	m1	0.873354782100029	0.00993119103355322	-0.88276613
SBS52	m2	0.965428109854604	0.0099506448017832	-1.97692365
SBS52	m3	0.987136465324385	0.00991649269311068	-3.12811545
SBS.A	m0	0.357052631578947	0.00992731785144474	0.65285082
SBS.A	m1	0.850437317784257	0.00993894647167404	0.305182485
SBS.A	m2	0.979190751445087	0.00992047224727388	-1.6315169
SBS.A	m3	0.95752339812815	0.00992673126920351	-2.2589543
