S	mi	tpr	fpr	thr
SBS1	m0	0.28804347826087	0.00993288590604025	1.13811955
SBS1	m1	0.839853644807205	0.00998812600405108	-0.26077795
SBS1	m2	0.958235294117647	0.00993257449430873	-1.7442722
SBS1	m3	0.954027084818247	0.00991859268269857	-2.7059692
SBS2.13	m0	0.605393258426966	0.00999146029035014	0.50316119
SBS2.13	m1	0.912514827995255	0.00993240446958199	-0.9221431
SBS2.13	m2	0.977064220183486	0.00998348057171583	-2.3271961
SBS2.13	m3	0.983173076923077	0.00993605509099849	-3.5923411
SBS3	m0	0.133887733887734	0.00997398091934087	0.79417532
SBS3	m1	0.70404893678998	0.00997437140680202	0.692687225
SBS3	m2	0.909392932648747	0.00994093070162805	-0.6414392
SBS3	m3	0.918555008210181	0.00995405819295558	-1.16920825
SBS16	m0	0.208185753640299	0.00991750043882744	1.12137155
SBS16	m1	0.746960046323104	0.00998890122086571	0.458559825
SBS16	m2	0.891735285147911	0.00998993819174931	-0.15539156
SBS16	m3	0.892341842397336	0.00991658943466167	-1.68751215
SBS18	m0	0.260851760851761	0.00991908117984863	0.61579175
SBS18	m1	0.771347517730496	0.00996863018473337	0.243834645
SBS18	m2	0.940774487471526	0.00994079380162272	-1.42811525
SBS18	m3	0.938341158059468	0.0099048358904642	-2.1633414
SBS44	m0	0.243112434847357	0.00995644057249534	0.878091
SBS44	m1	0.749630068067476	0.00993720240149054	-0.01428546
SBS44	m2	0.859643734643735	0.00997345196240229	-0.497364345
SBS44	m3	0.884758364312268	0.00999722299361283	-0.988870525
