S	mi	tpr	fpr	thr
SBS1	m0	0.174275241586138	0.00997280145058932	0.811627565
SBS1	m1	0.616796267496112	0.00999655291278867	0.6232867
SBS1	m2	0.817495280050346	0.00993197278911562	-0.17684521
SBS1	m3	0.83776451437873	0.00995520159283225	-1.22296365
SBS2.13	m0	0.56980056980057	0.00953161069327579	0.7076744
SBS2.13	m1	0.917661847894406	0.0099738616040721	-1.05919675
SBS2.13	m2	0.97752808988764	0.00995732574679942	-2.51635505
SBS2.13	m3	0.979710727199679	0.00994786679433979	-3.41657495
SBS3.8	m0	0.139146567717996	0.0099689853788214	0.466739415
SBS3.8	m1	0.680104883644707	0.00995296202876816	0.553779635
SBS3.8	m2	0.901666666666667	0.00994757359860199	-1.63384225
SBS3.8	m3	0.918941446134611	0.00995942456658061	-2.4373393
SBS4	m0	0.379565038982355	0.00992753623188403	0.86369207
SBS4	m1	0.882447149263293	0.00993286751609812	0.864195565
SBS4	m2	0.978444236176195	0.00994753696259454	-2.00306665
SBS4	m3	0.982524964336662	0.00996257155438129	-3.27036355
SBS5	m0	0.0780645161290323	0.00997183527441581	0.71753838
SBS5	m1	0.517777777777778	0.00995195607412491	1.20451025
SBS5	m2	0.780503345014336	0.00997353958884595	0.538955575
SBS5	m3	0.778336125069793	0.00995345152025351	-0.1430912
SBS17	m0	0.519052523171988	0.00998198739117384	0.64207415
SBS17	m1	0.903937007874016	0.0099690615331729	-0.67313377
SBS17	m2	0.975558237779119	0.00995605602856353	-2.64458225
SBS17	m3	0.98314837648993	0.00682178741406658	-4.24808135
SBS18	m0	0.0960432871153196	0.00993975903614452	0.507473
SBS18	m1	0.536494073611978	0.00999035414082949	0.8162701
SBS18	m2	0.777498428661219	0.00993467610234078	0.119215325
SBS18	m3	0.785310734463277	0.00995875666431945	-0.60400408
SBS44	m0	0.258020164986251	0.00996086801849871	0.335775315
SBS44	m1	0.745322245322245	0.00997707968181205	-0.1071177
SBS44	m2	0.90163387795932	0.00994690503394047	-0.803735
SBS44	m3	0.933567114747711	0.00954781955693829	-1.82063165
