S	mi	tpr	fpr	thr
SBS1	m0	0.411189238764904	0.0499849894926448	-0.144413235
SBS1	m1	0.732839646824267	0.0499491007804547	-1.17957725
SBS1	m2	0.864831038798498	0.0499787625654821	-2.0861944
SBS1	m3	0.693548387096774	0.0349732385072219	-2.10579645
SBS2.13	m0	0.551786250375263	0.0499849215922799	-0.69931072
SBS2.13	m1	0.829787234042553	0.0499966034916106	-1.97523695
SBS2.13	m2	0.91904047976012	0.0499749767641381	-2.57286455
SBS2.13	m3	0.814076484947111	0.0499661374068778	-2.3167898
SBS5	m0	0.313375796178344	0.0495726495726496	-0.26354799
SBS5	m1	0.823056300268097	0.0499697763449527	-1.3213618
SBS5	m2	0.951692307692308	0.0499573621375782	-2.38026465
SBS5	m3	0.961746987951807	0.0499718355194335	-2.8681449
SBS7	m0	0.839069316529326	0.0492017616295073	-0.8691409
SBS7	m1	0.999716633607254	0.0499422436637902	-8.762803
SBS7	m2	0.999703966844287	0.0499856569133678	-10.282195
SBS7	m3	1	0.0499661628693887	-10.3695115
SBS17	m0	0.642398286937901	0.0496022812546901	-0.87870425
SBS17	m1	0.931459707484944	0.0499356324954265	-2.38737155
SBS17	m2	0.98651817116061	0.0499640546369519	-4.2861407
SBS17	m3	0.990153172866521	0.0492101563146142	-4.40006765
SBS18	m0	0.372826407309166	0.0499924253900924	-0.276856335
SBS18	m1	0.774507081366287	0.0499829293274155	-1.37731725
SBS18	m2	0.915273775216138	0.0499566849552411	-1.9718796
SBS18	m3	0.900428265524625	0.0499806875241406	-2.585267
SBS38	m0	0.571139386928861	0.0458247697343381	-0.98343134
SBS38	m1	0.849244799088059	0.0499423220465495	-1.7703945
SBS38	m2	0.938630299436703	0.049967739622912	-2.61275695
SBS38	m3	0.841234010534236	0.0386584154633662	-2.2309264
