S	mi	tpr	fpr	thr
SBS1	m0	0.414528490503166	0.0498640072529465	-0.1829243
SBS1	m1	0.727527216174183	0.0499827645639435	-1.22594735
SBS1	m2	0.878225298930145	0.0499319727891157	-1.98230195
SBS1	m3	0.883071079761259	0.0499253359880537	-2.4390491
SBS2.13	m0	0.746794871794872	0.0499664904311564	-1.24953205
SBS2.13	m1	0.945631678189818	0.0499380932728023	-2.74644875
SBS2.13	m2	0.981701444622793	0.0499898394635236	-3.7437645
SBS2.13	m3	0.984531940538369	0.0499521225662305	-3.91951905
SBS3.8	m0	0.297588126159555	0.049992615566386	-0.36946544
SBS3.8	m1	0.81186496230744	0.0499693230622401	-1.4182862
SBS3.8	m2	0.926	0.0499395079983869	-2.6323875
SBS3.8	m3	0.934152948530944	0.0499552089371345	-2.8709631
SBS4	m0	0.58596635207222	0.0491304347826087	-0.399035395
SBS4	m1	0.939782190903267	0.0499383477188656	-1.8508363
SBS4	m2	0.98875351452671	0.0499420862574096	-3.58050515
SBS4	m3	0.984486447931526	0.0498128577719067	-3.5851866
SBS5	m0	0.21258064516129	0.0499352972520363	-0.306648765
SBS5	m1	0.673015873015873	0.0499656829100892	-0.56895885
SBS5	m2	0.857279388340236	0.049935545152317	-1.0817301
SBS5	m3	0.859575656058068	0.0499653362384866	-1.58966815
SBS17	m0	0.638860281496739	0.0493095166616632	-0.8835771
SBS17	m1	0.933228346456693	0.0499828119628738	-2.5303157
SBS17	m2	0.98098974049487	0.0499862675089261	-3.88731905
SBS17	m3	0.989930127414714	0.0424114225277631	-5.07466625
SBS18	m0	0.251944538383497	0.0482680722891566	-0.5238977
SBS18	m1	0.667498440424205	0.0499517707041477	-0.95802164
SBS18	m2	0.832495285983658	0.0499455634186173	-1.4264833
SBS18	m3	0.830765279917822	0.0498440800724274	-1.91224075
SBS44	m0	0.426672777268561	0.0466026325151192	-0.758824075
SBS44	m1	0.807692307692308	0.049952811109613	-1.81217825
SBS44	m2	0.926308769589863	0.049936151623093	-2.4633727
SBS44	m3	0.940970192869667	0.0499919540846431	-2.9825116
