S	mi	tpr	fpr	thr
SBS1	m0	0.145833333333333	0.00994161275051286	0.631027865
SBS1	m1	0.617050067658999	0.00997094558901213	0.8903856
SBS1	m2	0.836234458259325	0.00998641304347825	0.27321464
SBS1	m3	0.832879695155144	0.0099420049710025	-0.162267625
SBS3	m0	0.226617031177292	0.00998065764023215	0.40863743
SBS3	m1	0.742278654770075	0.00994336889240088	0.056488089
SBS3	m2	0.936437797416723	0.00993627081477422	-0.73282349
SBS3	m3	0.956779661016949	0.00996386729442678	-1.2125117
SBS2.13	m0	0.418471597874949	0.00791953749901009	0.49652153
SBS2.13	m1	0.841152815013405	0.00998941518920349	-0.6077895
SBS2.13	m2	0.963475177304965	0.00998980632008151	-1.2821385
SBS2.13	m3	0.970157352143245	0.00994818652849738	-1.87679985
SBS5	m0	0.138042474607572	0.0099938022931515	0.3564616
SBS5	m1	0.67053038285915	0.00996525273716642	0.69676728
SBS5	m2	0.948493342676945	0.00994482664668617	-1.36374245
SBS5	m3	0.958018471872376	0.00998792668203274	-2.42536805
SBS8	m0	0.140382052421146	0.00998206347968489	0.305891365
SBS8	m1	0.605691056910569	0.00996831264853448	0.7473209
SBS8	m2	0.891012743125419	0.00996358139215281	-0.73261485
SBS8	m3	0.947113443681873	0.00998225377107365	-2.172451
SBS17	m0	0.467339097022094	0.00977524630541871	0.29821959
SBS17	m1	0.853342201529764	0.00993838203140529	-0.83013715
SBS17	m2	0.96251719394773	0.00998154098584814	-1.67772185
SBS17	m3	0.988483685220729	0.00990099009900991	-4.1763025
SBS18	m0	0.108879067898755	0.00993245927691699	0.260587485
SBS18	m1	0.558539944903581	0.00993682548038954	0.48962268
SBS18	m2	0.834736842105263	0.00994211780728638	-0.06590055
SBS18	m3	0.887541345093716	0.00991837999793366	-1.1714241
SBS31	m0	0.316971713810316	0.00994475138121542	0.564125885
SBS31	m1	0.743257084329123	0.00995320018456269	-0.091957745
SBS31	m2	0.929145361577794	0.00993444617152128	-1.8178385
SBS31	m3	0.955702647657841	0.00996956658621051	-2.68975425
SBS35	m0	0.129971299712997	0.00997229916897502	0.256538335
SBS35	m1	0.591315876698707	0.00994497115958359	0.6038254
SBS35	m2	0.895517119661137	0.00999863964086523	-0.77270713
SBS35	m3	0.914670658682635	0.00990620718726942	-1.6978383
