S	mi	tpr	fpr	thr
SBS1	m0	0.364350326064091	0.0499925991711072	-1.1329379
SBS1	m1	0.62804580235524	0.0499969068976183	-1.33588495
SBS1	m2	0.83790090627883	0.0499978283395485	-2.0272039
SBS1	m3	0.881314185522251	0.0499976534267791	-2.47929255
SBS2	m0	0.383031815346226	0.0499948130474087	-1.3038527
SBS2	m1	0.655722480196668	0.0499962910763296	-1.5179714
SBS2	m2	0.870323106163454	0.0499941059319142	-3.1403766
SBS2	m3	0.948198291162752	0.0493378451769227	-3.4266809
SBS3	m0	0.121087552286168	0.0491163339851677	-1.6719322
SBS3	m1	0.264868756229926	0.0499941364901647	-1.26225345
SBS3	m2	0.518916212306665	0.0499938126469497	-1.3672423
SBS3	m3	0.680210970464135	0.0499992188435761	-1.7735945
SBS4	m0	0.14918980655293	0.0499955677688149	-1.4334334
SBS4	m1	0.326532826912642	0.0499978347881495	-1.1563162
SBS4	m2	0.612603361617035	0.0499965857807078	-1.4681722
SBS4	m3	0.770432542485561	0.0499958258546562	-1.7805159
SBS5	m0	0.105569948186528	0.0499981547772816	-1.73090895
SBS5	m1	0.23668044230984	0.0499966085181691	-1.2752023
SBS5	m2	0.481086541699405	0.0499950548907131	-1.23636415
SBS5	m3	0.623471986417657	0.0499992194126861	-1.6722301
SBS6	m0	0.221632567558131	0.0499851917666222	-1.35680655
SBS6	m1	0.44780742270282	0.0499956702994916	-1.0273639
SBS6	m2	0.724181086081184	0.0499950377133783	-1.5070088
SBS6	m3	0.826614063206345	0.049997387533309	-1.9710026
SBS7a	m0	0.272550111358575	0.0499655588721086	-1.16588435
SBS7a	m1	0.543869269576662	0.0499996910548007	-1.2395196
SBS7a	m2	0.792620522488554	0.0499972054723062	-1.70671275
SBS7a	m3	0.876665429196057	0.0499947775224566	-2.4888349
SBS8	m0	0.16685552407932	0.0499996303442973	-1.51924425
SBS8	m1	0.366749379652605	0.0499993824949674	-1.3133992
SBS8	m2	0.624673955269438	0.0499953581927898	-1.64841435
SBS8	m3	0.776718431241934	0.0499989567249509	-2.3011614
SBS9	m0	0.191786591786592	0.0499940800378877	-1.55603385
SBS9	m1	0.433364501402563	0.0499950585561101	-1.31692995
SBS9	m2	0.720616676797259	0.0499947367443359	-1.95408755
SBS9	m3	0.85411528654433	0.0499947862356621	-2.5715065
SBS10a	m0	0.376463987656918	0.049999259928065	-1.4329711
SBS10a	m1	0.653399848172649	0.0499953599158598	-1.52471635
SBS10a	m2	0.866710620295588	0.0499959725638659	-2.5524758
SBS10a	m3	0.929980930271122	0.0499997390410279	-3.07175825
SBS11	m0	0.214245256301331	0.0487886024383212	-1.1766089
SBS11	m1	0.458242714223575	0.0499984537835916	-1.1857645
SBS11	m2	0.724990449162255	0.049996589591433	-1.82616905
SBS11	m3	0.839719108044844	0.0499968647451038	-2.53365995
SBS12	m0	0.198435628215066	0.0499963015015904	-1.31434275
SBS12	m1	0.389342033713975	0.0499978353238046	-1.0591157
SBS12	m2	0.660479632063075	0.0499969007624125	-1.48329535
SBS12	m3	0.765445846737606	0.0499955608245377	-1.72679155
SBS13	m0	0.432231286675254	0.0499900300575302	-1.63888825
SBS13	m1	0.724759482472631	0.0499966047496466	-1.5721773
SBS13	m2	0.917460848241654	0.049996597608428	-3.086576
SBS13	m3	0.963663157894737	0.047053491897298	-4.01436975
SBS14	m0	0.242927036800681	0.0499933470335162	-1.1939306
SBS14	m1	0.511397587695032	0.0499990740912205	-1.2658889
SBS14	m2	0.7826423011097	0.0499996903660492	-1.9206063
SBS14	m3	0.874610657462749	0.0499986976792645	-2.7271918
SBS15	m0	0.238906888294126	0.0499988903930227	-1.24530065
SBS15	m1	0.492805755395683	0.0499972175676595	-1.1783068
SBS15	m2	0.763038857703417	0.0499984495643275	-1.93772845
SBS15	m3	0.848125986869442	0.0499955649937127	-2.62924125
SBS16	m0	0.248598518928646	0.0499955533157442	-1.1573934
SBS16	m1	0.506715241150563	0.0499981445517855	-1.3974366
SBS16	m2	0.776218091160371	0.0499990691497614	-1.8454299
SBS16	m3	0.891449661677261	0.0499952962819722	-2.13764975
SBS17b	m0	0.438443264393516	0.0499818611228335	-1.8378945
SBS17b	m1	0.738672462798863	0.049995682583542	-1.8820151
SBS17b	m2	0.919870918339441	0.0499841920265822	-3.46479825
SBS17b	m3	0.957962371913321	0.0482984300014069	-4.4153317
SBS18	m0	0.163296293740079	0.0499955519971533	-1.38370875
SBS18	m1	0.348667495540299	0.0499944299347683	-1.04504595
SBS18	m2	0.633908998556381	0.0499965815365683	-1.55481825
SBS18	m3	0.771040013227513	0.0499971284021907	-1.91959295
SBS19	m0	0.216951788491446	0.0499944540984213	-1.48207105
SBS19	m1	0.459609409675988	0.0499959889665726	-1.2728027
SBS19	m2	0.716644576982549	0.0499981422538177	-1.7968862
SBS19	m3	0.804934400528096	0.0499986944147061	-2.2425188
SBS20	m0	0.204655742316619	0.0468770808363297	-1.06717225
SBS20	m1	0.447014228423886	0.0499956756489616	-1.10436795
SBS20	m2	0.710121857503568	0.0499950426333532	-1.62923435
SBS20	m3	0.79190895497591	0.0499877378722339	-2.26135445
SBS21	m0	0.298428581495314	0.0499963015015904	-1.2755747
SBS21	m1	0.573153331138185	0.0499953662228538	-1.54089525
SBS21	m2	0.819935161272597	0.0499953530158926	-2.846074
SBS21	m3	0.903294235088595	0.0499997391499418	-3.4473591
SBS22	m0	0.320889762121956	0.0497298897358099	-1.2396274
SBS22	m1	0.590645196626136	0.0499941292431667	-1.54420825
SBS22	m2	0.828127573145963	0.0499947328305769	-2.38475115
SBS22	m3	0.917113076699473	0.0499994781937154	-3.4375142
SBS23	m0	0.202948645598194	0.0499981509559557	-1.3119457
SBS23	m1	0.41496226621459	0.0499966005525647	-1.1140865
SBS23	m2	0.676592912992846	0.0499996905193704	-1.61211195
SBS23	m3	0.781461881924921	0.049990863288694	-2.01958195
SBS24	m0	0.205645730416373	0.049995932283616	-1.5855882
SBS24	m1	0.435514944679914	0.0499969118646162	-1.26901555
SBS24	m2	0.705977113654038	0.0499962869448982	-1.8469561
SBS24	m3	0.850690139680965	0.0499569246834617	-2.4824723
SBS25	m0	0.158323074818766	0.0499929503780824	-1.51187665
SBS25	m1	0.355094934987215	0.0499950524440926	-1.33362025
SBS25	m2	0.64321881635542	0.0499978291477234	-1.770149
SBS25	m3	0.776768305330844	0.0499953031552359	-2.1942185
SBS26	m0	0.184830788714557	0.0489095052083334	-1.4159019
SBS26	m1	0.392976588628763	0.0499947575198751	-1.0926996
SBS26	m2	0.664347634034565	0.0499990711096524	-1.41947025
SBS26	m3	0.773523849548224	0.0499510233004044	-2.06760655
SBS28	m0	0.379455811010335	0.0499933411266814	-1.21675495
SBS28	m1	0.661607830199054	0.0499966026524019	-1.26815625
SBS28	m2	0.883495145631068	0.0499981420237078	-2.62783165
SBS28	m3	0.929978025693036	0.0499950536033198	-3.4859954
SBS29	m0	0.184738392481414	0.0499396845836756	-1.24571935
SBS29	m1	0.374787706130499	0.0499987640893811	-1.0314095
SBS29	m2	0.662212283189702	0.0499937988341809	-1.4485307
SBS29	m3	0.812658227848101	0.0499874757342351	-1.8096712
SBS30	m0	0.179330237793725	0.0473636316556556	-1.4907917
SBS30	m1	0.424780666343721	0.0499944271755688	-1.1779819
SBS30	m2	0.692375061579725	0.0499984503331784	-1.6924575
SBS30	m3	0.819332805797343	0.0499968703054582	-2.0033821
SBS31	m0	0.178964446952596	0.0499981509559557	-1.37844895
SBS31	m1	0.390041033603194	0.0499990743197793	-1.25315235
SBS31	m2	0.662502045938131	0.0499984497566118	-1.60943815
SBS31	m3	0.764819853244291	0.0499986942783276	-2.13160505
SBS32	m0	0.202350608892665	0.0494687890460382	-1.47862795
SBS32	m1	0.430896121266161	0.0499959909457051	-1.4309366
SBS32	m2	0.712903403155754	0.049998451101267	-2.07001625
SBS32	m3	0.817203407438188	0.0499953041354914	-2.68711795
SBS33	m0	0.352594748146608	0.0499970358953078	-1.6548773
SBS33	m1	0.655408712677435	0.0499969076628115	-1.79388725
SBS33	m2	0.887510204081633	0.0499941073942898	-2.28693295
SBS33	m3	0.968788961848558	0.049978868940473	-3.06928145
SBS34	m0	0.39364699253416	0.0499988903930227	-1.4299253
SBS34	m1	0.671566452185489	0.0499972230621603	-1.5646879
SBS34	m2	0.881771494836821	0.0499984518685946	-2.61549465
SBS34	m3	0.944284821986259	0.0499718321614121	-3.27922295
SBS35	m0	0.184880504928728	0.0487876995860438	-1.4549414
SBS35	m1	0.42734711931881	0.0499966047496466	-1.20606815
SBS35	m2	0.696440452428476	0.0499944292452246	-1.69532005
SBS35	m3	0.811353674624452	0.0499989595471949	-2.3666017
SBS36	m0	0.193440100706343	0.0499696480656194	-1.31430915
SBS36	m1	0.402458173155017	0.0499975248750062	-0.9956572
SBS36	m2	0.685781575199912	0.0499950414042744	-1.64385655
SBS36	m3	0.807127969987495	0.0499966098689323	-2.29631195
SBS37	m0	0.191320511903911	0.0499948299038362	-1.44678315
SBS37	m1	0.411286334413979	0.0499944402574779	-1.35619535
SBS37	m2	0.673716848458003	0.0499959760544285	-2.22816705
SBS37	m3	0.770764397905759	0.0499979150160543	-2.858938
SBS38	m0	0.299785719223059	0.0482529611456187	-1.26760335
SBS38	m1	0.581074474441849	0.0499975257936017	-1.32294145
SBS38	m2	0.827824503133873	0.0499978251008221	-2.26548175
SBS38	m3	0.911929247223365	0.0499391368402355	-2.82173575
SBS39	m0	0.221310900806169	0.0499940791616093	-1.29825485
SBS39	m1	0.456193519947102	0.0499972210042673	-1.20257455
SBS39	m2	0.709406402723629	0.0499990705340712	-1.7172454
SBS39	m3	0.798486045834546	0.0499895659432388	-2.30176305
SBS40	m0	0.108196950622465	0.0499988895715967	-1.8990135
SBS40	m1	0.245569759148516	0.0499969107198023	-1.4010434
SBS40	m2	0.491549683457198	0.0499972123967812	-1.3310164
SBS40	m3	0.627069051997994	0.0499950468980548	-1.74987865
SBS41	m0	0.192827004219409	0.0499996300708044	-1.3788082
SBS41	m1	0.452340542020257	0.0499962919931772	-1.27298255
SBS41	m2	0.727147652853448	0.0499990707643893	-1.97626885
SBS41	m3	0.855260405772851	0.0499953080524247	-2.20804785
SBS42	m0	0.161116174717801	0.0499933391554049	-1.52615675
SBS42	m1	0.364870083301153	0.0499969126273542	-1.22853785
SBS42	m2	0.63262751075064	0.0499990696116559	-1.6717768
SBS42	m3	0.769985389271551	0.0499979141462601	-2.2156005
SBS44	m0	0.169273548835593	0.0499940738984859	-1.3716886
SBS44	m1	0.391816693944354	0.0499978361267907	-1.19665545
