S	mi	tpr	fpr	thr
SBS1	m0	0.526824034334764	0.049954839157924	-0.41755942
SBS1	m1	0.916901408450704	0.0499670402109427	-2.02596425
SBS1	m2	0.986570247933884	0.0499543314831729	-3.5306064
SBS1	m3	0.973021582733813	0.0499408284023669	-3.7997531
SBS2.13	m0	0.481168602604717	0.049832729300251	-0.8448185
SBS2.13	m1	0.860721442885772	0.0499467234949388	-1.89139275
SBS2.13	m2	0.968783256473927	0.0499371420589467	-3.1198066
SBS2.13	m3	0.951045104510451	0.0499096657633243	-3.6045844
SBS3	m0	0.363803230543319	0.0470100241963359	-0.5620255
SBS3	m1	0.810819892473118	0.0499534388718904	-1.55458905
SBS3	m2	0.948197409870494	0.0499299719887956	-2.6856657
SBS3	m3	0.935897435897436	0.0499886389456942	-3.2314865
SBS5	m0	0.212154696132597	0.0499516374188199	-0.602659585
SBS5	m1	0.789835164835165	0.049940389455557	-0.852087135
SBS5	m2	0.959445037353255	0.0499790590534692	-2.448565
SBS5	m3	0.937470167064439	0.04988926448304	-2.9573836
SBS17	m0	0.625521557719054	0.0499545867393278	-0.78611645
SBS17	m1	0.927435387673956	0.0499599786552828	-2.3968589
SBS17	m2	0.987756452680344	0.0499468650371945	-3.4419778
SBS17	m3	0.986168741355463	0.0499706055261611	-4.725684
SBS18	m0	0.348942074228234	0.0499790297777156	-0.78369928
SBS18	m1	0.79070544968238	0.0499367467874027	-1.4724685
SBS18	m2	0.942019099590723	0.0499824005631819	-1.9044017
SBS18	m3	0.917084028937117	0.0499042469302692	-0.529407675
SBS26	m0	0.505576208178439	0.0487619835850749	-0.823441775
SBS26	m1	0.810373863253621	0.049996675752942	-1.90516755
SBS26	m2	0.912403386087597	0.0499306518723994	-2.15562995
SBS26	m3	0.924405039664022	0.0477083577540733	-2.5503646
SBS31	m0	0.291960507757405	0.0499547133003553	-0.713044475
SBS31	m1	0.672268907563025	0.0499538075755576	-1.3101051
SBS31	m2	0.873021853805577	0.0499896430297591	-2.007038
SBS31	m3	0.875739644970414	0.0499892726882644	-2.7619644
SBS44	m0	0.367563162184189	0.0499491007804547	-0.59933995
SBS44	m1	0.772529069767442	0.0499410145497444	-1.45308075
SBS44	m2	0.888426626323752	0.0499551507624371	-2.56146315
SBS44	m3	0.921590486807878	0.0499812100714018	-2.72534275
