S	mi	tpr	fpr	thr
SBS1	m0	0.318464351005484	0.0493197278911565	3.28723335
SBS1	m1	0.646160477861937	0.0496822645869439	3.0122981
SBS1	m2	0.955831903945112	0.0494408475573866	1.54549885
SBS1	m3	0.999464155854097	0.0484775641025641	-1.40149165
SBS2.13	m0	0.191843839363422	0.0493273542600897	2.6920958
SBS2.13	m1	0.435912021236253	0.0498137802607076	2.86404385
SBS2.13	m2	0.824652012344901	0.0498602050326188	2.7483869
SBS2.13	m3	0.989332915016275	0.0499359795134443	-0.29484019
SBS3	m0	0.165603470273029	0.049902786779002	2.89027665
SBS3	m1	0.334504750748406	0.0499231950844854	3.1579273
SBS3	m2	0.682808245818748	0.0496726992683866	3.4719293
SBS3	m3	0.954264723691115	0.0496103896103897	1.40457425
SBS5	m0	0.129429022793952	0.0481695568400771	3.39815585
SBS5	m1	0.332559489262914	0.0486486486486486	3.82966925
SBS5	m2	0.620137433030515	0.0493537015276145	5.3210925
SBS5	m3	0.837029753450599	0.0498281786941581	5.2430319
SBS17	m0	0.356499356499356	0.0499552829947617	-0.78323797
SBS17	m1	0.666832174776564	0.0499928274279157	-0.55393072
SBS17	m2	0.944263934016496	0.0499928683497362	-1.91709905
SBS17	m3	0.9947468262075	0.0495636196600827	-4.9545493
SBS18	m0	0.136051675413807	0.0497435897435897	2.27405905
SBS18	m1	0.260577705451587	0.0499689633767846	2.76479
SBS18	m2	0.674310064935065	0.0497066995986416	2.63607195
SBS18	m3	0.96459060515581	0.0499587118084228	1.8432897
SBS26	m0	0.108433734939759	0.0499186109603906	-2.9170773
SBS26	m1	0.356371490280778	0.0499800079968012	-2.820179
SBS26	m2	0.646396396396396	0.049945958245634	-3.5470333
SBS26	m3	0.77045177045177	0.0448496619191483	-4.5987984
SBS31	m0	0.0855199222546161	0.0499281609195402	-1.67521515
SBS31	m1	0.156563245823389	0.0499527559055118	-1.31172305
SBS31	m2	0.353578154425612	0.0499402478143279	-1.3603318
SBS31	m3	0.784087548062703	0.0497979557879724	-2.81838115
SBS44	m0	0.122641509433962	0.0499191374663073	-3.9507894
SBS44	m1	0.428134556574924	0.0499914980445503	-3.5323489
SBS44	m2	0.662049861495845	0.0499943381270525	-4.09270425
SBS44	m3	0.852480417754569	0.0499694870230104	-5.0256993
