S	mi	tpr	fpr	thr
SBS1	m0	0.429220779220779	0.0483171750610861	-0.252060575
SBS1	m1	0.869949867295783	0.0499407128409012	-1.5326194
SBS1	m2	0.963890506697729	0.04995499549955	-2.6081031
SBS1	m3	0.941286113699907	0.0498648648648649	-2.2664255
SBS2.13	m0	0.438955317809943	0.0499642545079038	-0.125669405
SBS2.13	m1	0.807260920897285	0.0499302649930266	-1.19035635
SBS2.13	m2	0.934667083463582	0.0499742021080564	-1.5591533
SBS2.13	m3	0.878434065934066	0.049938195302843	-2.4431773
SBS3	m0	0.389864864864865	0.0440384164909815	-0.37024592
SBS3	m1	0.819599764567393	0.0499651081646895	-1.3997127
SBS3	m2	0.911400651465798	0.0499415887850467	-2.08405115
SBS3	m3	0.848522167487685	0.049987376925019	-2.257328
SBS5	m0	0.232421875	0.0499409216226862	-0.5787647
SBS5	m1	0.80734479743515	0.0499405469678954	-1.00897175
SBS5	m2	0.934158864391422	0.0499442586399108	-1.8014106
SBS5	m3	0.906537530266344	0.0499933164015506	-2.01460265
SBS17	m0	0.472096041531473	0.0499802916830903	-0.7394679
SBS17	m1	0.844943165257942	0.0499405469678954	-1.4996515
SBS17	m2	0.939499524865379	0.0499669336468513	-2.65344165
SBS17	m3	0.8588531821046	0.0217363990451062	-2.6495336
SBS18	m0	0.354413702239789	0.0498782499410887	-0.141921525
SBS18	m1	0.870093194012991	0.0499753295270318	-1.18412355
SBS18	m2	0.961067853170189	0.0499620349278663	-2.4283681
SBS18	m3	0.932766302146618	0.0498798926098629	-2.31962975
SBS44	m0	0.394673123486683	0.0499927017953583	-1.04198425
SBS44	m1	0.852448453608247	0.0499863238512035	-1.96693035
SBS44	m2	0.947847180109157	0.0499702999703	-2.67125585
SBS44	m3	0.976334617501376	0.0498985115020297	-2.6663572
