S	mi	tpr	fpr	thr
SBS1	m0	0.539896670493685	0.0488521089161773	-0.079564515
SBS1	m1	0.835413416536661	0.0499393593493614	-1.4897599
SBS1	m2	0.936290322580645	0.0499743156967785	-2.1805439
SBS1	m3	0.908504398826979	0.0499573924158501	-2.74200345
SBS2.13	m0	0.625806451612903	0.0499469589816125	-0.379900365
SBS2.13	m1	0.890069038767924	0.0499397034830106	-2.049351
SBS2.13	m2	0.9732118939191	0.0499485823417071	-3.1699468
SBS2.13	m3	0.977941176470588	0.0430796421075886	-3.7169528
SBS5	m0	0.518322629391764	0.0499378881987578	-0.060698494
SBS5	m1	0.940491591203105	0.0499357051007286	-1.3504817
SBS5	m2	0.992859032002116	0.0499778858911986	-3.8517624
SBS5	m3	0.9984	0.0499795723818602	-4.67201375
SBS17	m0	0.542106851795955	0.0499605574546411	-0.27979797
SBS17	m1	0.871094775531636	0.0499501921161235	-1.8661795
SBS17	m2	0.968641114982578	0.0499412455934195	-2.73912945
SBS17	m3	0.978787878787879	0.0499286733238231	-2.8867418
SBS26	m0	0.396971496437055	0.0499383477188656	0.190795995
SBS26	m1	0.756424275560416	0.0499824005631819	-1.1822983
SBS26	m2	0.878787878787879	0.0499675066791826	-1.9234079
SBS26	m3	0.760335530257639	0.0180390492359932	-2.0250795
SBS44	m0	0.533016061867936	0.0499961659381949	-0.63762855
SBS44	m1	0.961418143899896	0.04997504812148	-1.52279175
SBS44	m2	0.99819587628866	0.0499740105442935	-5.308448
SBS44	m3	0.99896694214876	0.0498960498960499	-6.2448776
