S	mi	tpr	fpr	thr
SBS1	m0	0.427523751319518	0.049995130976726	-0.53547686
SBS1	m1	0.759685755633657	0.0499981623727443	-1.5328133
SBS1	m2	0.830187140702083	0.0499946859389946	-1.89824555
SBS1	m3	0.670402144772118	0.0499995717014587	-2.15444665
SBS4	m0	0.4817281143414	0.0497172709307558	-0.54650707
SBS4	m1	0.775905195390987	0.0499988957841037	-1.62637865
SBS4	m2	0.850107850718327	0.0499961018066354	-2.13344525
SBS4	m3	0.728147241992883	0.0499970189171003	-2.23931915
SBS5	m0	0.433961193691138	0.048649854943093	-0.716989765
SBS5	m1	0.78591983984652	0.0499952294628375	-1.65378415
SBS5	m2	0.859938416659914	0.0499929067952901	-2.23640085
SBS5	m3	0.786189553098968	0.0499982803686889	-2.5168316
SBS11	m0	0.925595238095238	0.049994599220626	-7.01982835
SBS11	m1	0.994076128056466	0.0499947470714923	-7.150208
SBS11	m2	0.998890216834557	0.0289101058818566	-7.51820185
SBS11	m3	0.999517149804273	0.00082685201932764	-7.51820185
SBS13	m0	0.565278911564626	0.0499931583165549	-1.08500635
SBS13	m1	0.785783426623459	0.0499967025478314	-1.99863005
SBS13	m2	0.86068339100346	0.0499992984523859	-2.45450665
SBS13	m3	0.81624619788871	0.0499983140005396	-2.58063365
SBS31	m0	0.483532775600974	0.0499985265660148	-0.58773463
SBS31	m1	0.746290740207965	0.0499930095144188	-1.66581275
SBS31	m2	0.808146174343357	0.0499933107541949	-2.1036465
SBS31	m3	0.611332986050819	0.0499940735221904	-2.0710604
SBS37	m0	0.515909793018227	0.0481416979254382	-0.485051575
SBS37	m1	0.846676893735229	0.0499959591803748	-1.7570762
SBS37	m2	0.905011655011655	0.0499992853161046	-2.5423282
SBS37	m3	0.790332762196772	0.0379108406278431	-2.54237855
SBS40	m0	0.474513857484334	0.0492253588061972	-0.89198415
SBS40	m1	0.843318163011998	0.0499926503013376	-1.67868345
SBS40	m2	0.906526132266117	0.0499982196902261	-2.3250741
SBS40	m3	0.880795288491343	0.0499964541521878	-2.48942365
SBS44	m0	0.62275509180295	0.0499900652083597	-1.530458
SBS44	m1	0.938756186787175	0.0499945253476404	-2.81207155
SBS44	m2	0.962457337883959	0.0497790932097971	-3.341954
SBS44	m3	0.941615114529343	0.0499971560207042	-3.4579711
