S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.722681017612524	0.5
SBS1	mlp	1.0049202	0.761894446099272	0.900006397543343	0.9
SBS2.13	mlp	-Inf	1	0.836223091976517	0.5
SBS2.13	mlp	-1.9013052	0.98811167536449	0.900008526239502	0.9
SBS4	mlp	-5.2238	0.995	0.723636363636364	0.5
SBS4	mlp	-3.3292298	0.99	0.904109589041096	0.9
SBS6	mlp	-65.26866	1	0.500625782227785	0.5
SBS6	mlp	-29.472975	1	0.900900900900901	0.9
SBS17	mlp	-2.2614079	0.807142857142857	0.500067051092933	0.5
SBS17	mlp	0.08206868	0.62965367965368	0.900061881188119	0.9
SBS31	mlp	-1.5866125	0.575	0.502183406113537	0.5
SBS31	mlp	0.6601472	0.525	0.905172413793103	0.9
SBS44	cnn	-1.2688798	1	0.50251256281407	0.5
SBS44	cnn	1.7399551	0.99	0.908256880733945	0.9
SBS92	mlp	-Inf	1	0.677808219178082	0.5
SBS92	mlp	0.8011363	0.750028871694191	0.900013858093126	0.9
SBS109	mlp	-1.5912507	0.693941109852775	0.500051004794451	0.5
SBS109	mlp	0.9627516	0.380237825594564	0.900134048257373	0.9
