S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.64091849935317	0.5
SBS1	mlp	-0.018613726	0.75780635003936	0.900011986096129	0.9
SBS2.13	cnn	-2.117729	0.60313315926893	0.501084598698482	0.5
SBS2.13	cnn	-0.89196205	0.563968668407311	0.903765690376569	0.9
SBS3	mlp	-1.0700133	0.949515484177001	0.50000892108409	0.5
SBS3	mlp	2.0787592	0.0430643084637799	0.90014164305949	0.9
SBS4	mlp	-4.51633	1	0.920245398773006	0.5
SBS4	mlp	-4.51633	1	0.920245398773006	0.9
SBS5	mlp	-Inf	1	0.635187580853816	0.5
SBS5	mlp	1.5907838	0.301038696537678	0.900018267064483	0.9
SBS6	mlp	-4.5927362	1	0.50125313283208	0.5
SBS6	mlp	-1.8338544	1	0.900900900900901	0.9
SBS7	mlp	-4.2834573	1	0.903614457831325	0.5
SBS7	mlp	-4.2834573	1	0.903614457831325	0.9
SBS8	mlp	-Inf	1	0.62404915912031	0.5
SBS8	mlp	0.47081715	0.718008250585626	0.900010393929945	0.9
SBS11	mlp	-107.68753	1	0.500192381685264	0.5
SBS11	mlp	-3.4952931	1	0.998463901689708	0.9
SBS14	mlp	-45.19225	1	0.524658971668416	0.5
SBS14	mlp	-38.733356	1	0.900900900900901	0.9
SBS17	mlp	-4.0264225	1	0.769230769230769	0.5
SBS17	mlp	-4.010246	1	0.900900900900901	0.9
SBS18	mlp	-1.6448998	0.25112157918349	0.500469399615539	0.5
SBS18	mlp	0.10244417	0.0111036339165545	0.902985074626866	0.9
SBS26	cnn	0.13815618	0.99	0.50253807106599	0.5
SBS26	cnn	2.308738	0.94	0.903846153846154	0.9
SBS120	mlp	-Inf	1	0.622936610608021	0.5
SBS120	mlp	1.303293	0.410753224098187	0.900027302511831	0.9
