S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.937875432525952	0.5
SBS1	mlp	-Inf	1	0.937875432525952	0.9
SBS2.13	mlp	-1.4262631	0.6315567825558	0.500009261488877	0.5
SBS2.13	mlp	0.3747573	0.286112020962987	0.900051519835137	0.9
SBS3.8	mlp	-Inf	1	0.635159169550173	0.5
SBS3.8	mlp	0.8459877	0.820544669074586	0.90000298766096	0.9
SBS4	mlp	-1.0090017	0.58	0.502164502164502	0.5
SBS4	mlp	1.0932298	0.525	0.905172413793103	0.9
SBS6	mlp	-4.6200347	0.998	0.559025346590113	0.5
SBS6	mlp	-2.6641016	0.986	0.900045641259699	0.9
SBS10	mlp	-103.1331	1	0.500089301661011	0.5
SBS10	mlp	-54.154797	1	0.900032144005143	0.9
SBS14	mlp	-70.0683	1	0.50125313283208	0.5
SBS14	mlp	-23.955624	1	0.900900900900901	0.9
SBS15	mlp	-4.857962	0.992857142857143	0.500359971202304	0.5
SBS15	mlp	-2.869718	0.965714285714286	0.900133155792277	0.9
SBS17	mlp	-2.183903	0.966275572874751	0.500002191761606	0.5
SBS17	mlp	-0.34540093	0.775051886992249	0.900005902258598	0.9
SBS18	mlp	-Inf	1	0.599069204152249	0.5
SBS18	mlp	0.42385095	0.817612097198075	0.900001271601328	0.9
SBS26	cnn	-4.26413	0.996	0.500251130085384	0.5
SBS26	cnn	-1.8527095	0.983	0.90018315018315	0.9
SBS30	mlp	0.03711891	0.94	0.502673796791444	0.5
SBS30	mlp	3.7066374	0.74	0.902439024390244	0.9
SBS44	mlp	-10.460498	0.996974620426915	0.500014049284891	0.5
SBS44	mlp	-4.315855	0.993809176984705	0.900020295296565	0.9
SBS88	mlp	-Inf	1	0.594051903114187	0.5
SBS88	mlp	1.0828085	0.581695120601581	0.900001802418846	0.9
