S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.688010471204188	0.5
SBS1	mlp	1.8110027	0.262537097633361	0.90007826767545	0.9
SBS2.13	mlp	-Inf	1	0.564659685863874	0.5
SBS2.13	mlp	1.9893869	0.123968474733426	0.900033658700774	0.9
SBS3.8	mlp	0.2652948	0.00985415845486795	0.510204081632653	0.5
SBS3.8	mlp	1.9209745	0.000788332676389436	1	0.9
SBS4	mlp	-Inf	1	0.626492146596859	0.5
SBS4	mlp	1.7899524	0.31317900718703	0.900084063888555	0.9
SBS5	mlp	-1.3900588	0.0418616744669787	0.501557632398754	0.5
SBS5	mlp	-1.0900229	0.000260010400416017	1	0.9
SBS6	mlp	-2.8320065	0.97	0.501291989664083	0.5
SBS6	mlp	0.97526264	0.915	0.901477832512315	0.9
SBS12	mlp	-Inf	1	0.56434554973822	0.5
SBS12	mlp	1.5738413	0.510297801280267	0.900024543892661	0.9
SBS16	mlp	-Inf	1	0.516780104712042	0.5
SBS16	mlp	1.7615815	0.193151309457474	0.90014164305949	0.9
SBS18	mlp	Inf	0	NA	0.5
SBS18	mlp	Inf	0	NA	0.9
SBS19	mlp	-1.7189667	0.562814070351759	0.502242152466368	0.5
SBS19	mlp	0.47983122	0.49748743718593	0.908256880733945	0.9
SBS22	mlp	-1.2652227	0.39311957247829	0.500212494687633	0.5
SBS22	mlp	0.75154424	0.174682698730795	0.900172117039587	0.9
SBS23	mlp	Inf	0	NA	0.5
SBS23	mlp	Inf	0	NA	0.9
SBS24	mlp	-0.122959375	0.158249158249158	0.505376344086022	0.5
SBS24	mlp	3.6169899	0.037037037037037	0.916666666666667	0.9
SBS28	mlp	-0.5571705	0.438936851294985	0.500055254724279	0.5
SBS28	mlp	1.7864591	0.0387040450092152	0.900677200902935	0.9
SBS30	mlp	-0.3306632	0.09	0.529411764705882	0.5
SBS30	mlp	6.641119	0.01	1	0.9
SBS31	mlp	-0.8810177	0.89	0.502824858757062	0.5
SBS31	mlp	3.6385388	0.59	0.907692307692308	0.9
SBS92	mlp	Inf	0	NA	0.5
SBS92	mlp	Inf	0	NA	0.9
