S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.531034246575342	0.5
SBS1	mlp	0.8471517	0.450245708168346	0.900015469499304	0.9
SBS2.13	mlp	-2.4681513	0.982289982289982	0.500003919447515	0.5
SBS2.13	mlp	-0.27412406	0.736120736120736	0.900001882849127	0.9
SBS3	mlp	-Inf	1	0.715554794520548	0.5
SBS3	mlp	1.0407254	0.598041561773124	0.900012964750284	0.9
SBS4	mlp	-Inf	1	0.763938356164384	0.5
SBS4	mlp	-1.0360302	0.970601156587618	0.900003325463071	0.9
SBS5	mlp	Inf	0	NA	0.5
SBS5	mlp	Inf	0	NA	0.9
SBS7	mlp	-49.43497	1	0.50251256281407	0.5
SBS7	mlp	-42.76402	1	0.900900900900901	0.9
SBS17	mlp	-1.907645	0.628030799475754	0.500032609404552	0.5
SBS17	mlp	0.44846463	0.416857798165138	0.900070746374248	0.9
SBS18	mlp	-0.08338809	0.00200766563241467	0.523809523809524	0.5
SBS18	mlp	Inf	0	NA	0.9
SBS31	mlp	-0.94928825	0.210739614994934	0.500120221207021	0.5
SBS31	mlp	2.0950596	0.0393110435663627	0.900232018561485	0.9
SBS33	mlp	-1.0548158	0.164356435643564	0.503030303030303	0.5
SBS33	mlp	0.44685984	0.095049504950495	0.905660377358491	0.9
SBS44	mlp	-1.545955	0.9225	0.500225937641211	0.5
SBS44	mlp	1.2452743	0.815833333333333	0.90064397424103	0.9
SBS92	mlp	-Inf	1	0.680883561643836	0.5
SBS92	mlp	0.572924	0.674033538210826	0.900012088812476	0.9
