S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS2.13	mlp	-3.3002844	0.923368421052632	0.500114025085519	0.5
SBS2.13	mlp	-0.004544258	0.654736842105263	0.90040532715692	0.9
SBS3.8	mlp	-3.4485478	0.743731193580742	0.5007342378611	0.5
SBS3.8	mlp	24.115368	0.00200601805416249	1	0.9
SBS4	mlp	-Inf	1	0.925916666666667	0.5
SBS4	mlp	-Inf	1	0.925916666666667	0.9
SBS5	cnn	-3.9496992	0.854437869822485	0.5003465003465	0.5
SBS5	cnn	-0.14219834	0.377514792899408	0.901129943502825	0.9
SBS31	mlp	-1.3941389	0.607090103397341	0.500609013398295	0.5
SBS31	mlp	1.119775	0.389955686853767	0.901023890784983	0.9
SBS44	cnn	-4.783002	0.721818181818182	0.50063051702396	0.5
SBS44	cnn	-0.274374	0.381818181818182	0.901287553648069	0.9
SBS.D	cnn	-2.874298	0.616666666666667	0.502262443438914	0.5
SBS.D	cnn	-1.0646988	0.577777777777778	0.904347826086957	0.9
