S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-1.6569035	0.889599813866915	0.500016346814006	0.5
SBS1	mlp	0.7499492	0.547696603071196	0.90001911680367	0.9
SBS2.13	mlp	-2.1486146	0.717657537296816	0.500077579519007	0.5
SBS2.13	mlp	-0.6507982	0.405032286795814	0.90004948045522	0.9
SBS4	cnn	-5.120707	1	0.50125313283208	0.5
SBS4	cnn	-2.0308948	1	0.900900900900901	0.9
SBS5	mlp	Inf	0	NA	0.5
SBS5	mlp	Inf	0	NA	0.9
SBS6	mlp	-2.749928	1	0.50251256281407	0.5
SBS6	mlp	1.0397468	0.96	0.905660377358491	0.9
SBS7	mlp	-Inf	1	0.855045592705167	0.5
SBS7	mlp	-2.6057825	0.994259002523906	0.900006435627635	0.9
SBS8.23	mlp	5.149241	0.0167785234899329	0.555555555555556	0.5
SBS8.23	mlp	12.016399	0.00335570469798658	1	0.9
SBS17	mlp	-1.6534489	0.77793251883269	0.500020344224275	0.5
SBS17	mlp	0.25903583	0.43482939798696	0.900026205450734	0.9
SBS18	mlp	-1.6445954	0.0929512006196747	0.502092050209205	0.5
SBS18	mlp	1.7677937	0.00387296669248644	1	0.9
SBS38	mlp	-1.910205	0.698053728070175	0.500049091801669	0.5
SBS38	mlp	0.35974693	0.329769736842105	0.900112233445567	0.9
SBS96	mlp	-3.1116714	1	0.50125313283208	0.5
SBS96	mlp	-0.33757687	0.975	0.902777777777778	0.9
