S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.785646341463415	0.5
SBS1	mlp	1.0647863	0.772705400245254	0.90000819482718	0.9
SBS2.13	mlp	-1.5438403	0.9836976783596	0.50000861370958	0.5
SBS2.13	mlp	0.3708719	0.662667344517878	0.90001841281532	0.9
SBS3.8	mlp	-Inf	1	0.67380487804878	0.5
SBS3.8	mlp	1.048082	0.707304712951567	0.900004605960112	0.9
SBS5	mlp	-1.3995749	0.0822828329131332	0.500697350069735	0.5
SBS5	mlp	0.3114009	0.00160440064176026	1	0.9
SBS10	mlp	-74.180504	1	0.500051025614859	0.5
SBS10	mlp	-52.718307	1	0.900073475385746	0.9
SBS14	cnn	-2.7024052	0.965	0.500324044069994	0.5
SBS14	cnn	-0.12031464	0.93625	0.900240384615385	0.9
SBS17	cnn	-1.6568192	0.465737909162986	0.500060805058981	0.5
SBS17	cnn	-0.021062851	0.176577188809605	0.900115473441109	0.9
SBS18	mlp	-1.5017581	0.989876064670781	0.500006440560071	0.5
SBS18	mlp	1.2418958	0.249528229713878	0.900018395879323	0.9
SBS26	mlp	-4.7465353	1	0.769230769230769	0.5
SBS26	mlp	-4.0892377	1	0.9000900090009	0.9
SBS31	cnn	-1.5031968	0.272784019975031	0.500286204922725	0.5
SBS31	cnn	-0.18242657	0.08458177278402	0.900332225913621	0.9
SBS44	mlp	-5.667264	0.997857033522119	0.500012783473525	0.5
SBS44	mlp	-1.7517244	0.982958314199704	0.919694787680116	0.9
