S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.724399395618232	0.5
SBS1	mlp	1.0488701	0.728796943603364	0.900003434390267	0.9
SBS2.13	mlp	-2.5617185	0.994624591832967	0.500001325925828	0.5
SBS2.13	mlp	0.07979655	0.786893288388802	0.900001810031193	0.9
SBS3	mlp	-1.4939425	0.943994666769229	0.500001697614173	0.5
SBS3	mlp	0.48988992	0.460151407344731	0.900001253745565	0.9
SBS4	mlp	-2.9730642	0.986	0.500507614213198	0.5
SBS4	mlp	-0.93728495	0.952	0.901515151515151	0.9
SBS5	mlp	-Inf	1	0.769211785444472	0.5
SBS5	mlp	1.5587066	0.586648071395366	0.900002009000321	0.9
SBS6	cnn	1.4026351	0.94	0.501333333333333	0.5
SBS6	cnn	4.698842	0.475	0.904761904761905	0.9
SBS8	mlp	-Inf	1	0.504502644170234	0.5
SBS8	mlp	0.85691464	0.516327406682706	0.900002610216387	0.9
SBS17	mlp	-3.0199938	0.754978877489439	0.500039971220721	0.5
SBS17	mlp	0.45425653	0.622812311406156	0.900052328623757	0.9
SBS18	mlp	-1.2783923	0.947205657606904	0.500001581822956	0.5
SBS18	mlp	1.1683333	0.267723472476102	0.90000805899182	0.9
SBS26	mlp	-2.4228456	0.9925	0.50063051702396	0.5
SBS26	mlp	-0.92510056	0.96	0.901408450704225	0.9
SBS31	mlp	-1.5604033	0.102556976097832	0.500135538086202	0.5
SBS31	mlp	-0.015202999	0.0185658699277376	0.900269541778976	0.9
SBS44	mlp	-3.4941206	0.945416666666667	0.500110204981265	0.5
SBS44	mlp	-1.2079697	0.839583333333333	0.90035746201966	0.9
