S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.740128205128205	0.5
SBS1	mlp	1.3469718	0.665396385472602	0.900031240237426	0.9
SBS2.13	mlp	-1.8444928	0.953073725661781	0.500028694404591	0.5
SBS2.13	mlp	0.3685776	0.638919273681908	0.900138696255201	0.9
SBS3.8	mlp	-Inf	1	0.655641025641026	0.5
SBS3.8	mlp	1.5811356	0.460630947725199	0.900025471217524	0.9
SBS4	mlp	-15.840259	1	0.50251256281407	0.5
SBS4	mlp	-3.9371595	1	0.900900900900901	0.9
SBS17	mlp	-Inf	1	0.75991452991453	0.5
SBS17	mlp	-1.9596082	0.985097289393769	0.9000154138622	0.9
SBS18	mlp	-Inf	1	0.605598290598291	0.5
SBS18	mlp	1.2572553	0.481758520923012	0.900065919578115	0.9
SBS28	mlp	-Inf	1	0.580042735042735	0.5
SBS28	mlp	1.1445435	0.603698519118839	0.900043936731107	0.9
SBS44	mlp	-3.7234542	1	0.50251256281407	0.5
SBS44	mlp	-1.26103	1	0.900900900900901	0.9
SBS93	mlp	-1.0563116	0.387129465416772	0.500163666121113	0.5
SBS93	mlp	0.941946	0.0772738788953636	0.902366863905325	0.9
