S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS5	mlp	-0.73966134	0.792276964047936	0.500420521446594	0.5
SBS5	mlp	1.7735881	0.0252996005326232	0.904761904761905	0.9
SBS17	mlp	-1.5782952	0.83419689119171	0.500777604976672	0.5
SBS17	mlp	0.6357324	0.453367875647668	0.902061855670103	0.9
SBS18	mlp	-0.7968334	0.879336349924585	0.50090521341557	0.5
SBS18	mlp	1.3325576	0.266968325791855	0.903061224489796	0.9
SBS35	mlp	-1.5158895	0.801405975395431	0.500548847420417	0.5
SBS35	mlp	0.25659192	0.300527240773286	0.904761904761905	0.9
SBS40	mlp	-Inf	1	0.5225	0.5
SBS40	mlp	1.417317	0.563636363636364	0.900611620795107	0.9
SBS52	mlp	-1.80802	0.852040816326531	0.501501501501502	0.5
SBS52	mlp	0.59928715	0.566326530612245	0.902439024390244	0.9
SBS.A	mlp	-0.8366722	0.879603399433428	0.500402900886382	0.5
SBS.A	mlp	1.5363297	0.259206798866856	0.901477832512315	0.9
