S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.72957264957265	0.5
SBS1	mlp	0.575004	0.818767572633552	0.900005188038606	0.9
SBS2.13	mlp	-Inf	1	0.662820512820513	0.5
SBS2.13	mlp	-0.6558292	0.909090909090909	0.900038299502106	0.9
SBS3	mlp	-0.7988751	0.513008672448299	0.500162601626016	0.5
SBS3	mlp	2.8164272	0.0220146764509673	0.904109589041096	0.9
SBS4	mlp	-1.8269439	0.752682403433476	0.50017825311943	0.5
SBS4	mlp	0.10480428	0.495171673819742	0.900487804878049	0.9
SBS16	mlp	-1.2017709	0.685848109735698	0.500121980970968	0.5
SBS16	mlp	1.1135135	0.260622281699565	0.900578034682081	0.9
SBS17	mlp	-1.8684459	0.82	0.500508646998983	0.5
SBS17	mlp	1.2699792	0.451666666666667	0.900332225913621	0.9
SBS18	mlp	-Inf	1	0.501965811965812	0.5
SBS18	mlp	1.1810904	0.448663374765878	0.900239152716092	0.9
SBS31	mlp	-1.3215714	0.440286624203822	0.500452488687783	0.5
SBS31	mlp	0.29081023	0.188694267515924	0.901140684410646	0.9
SBS44	mlp	-30.91902	1	0.50251256281407	0.5
SBS44	mlp	-11.303801	1	0.900900900900901	0.9
SBS88	mlp	-4.6588364	1	0.50251256281407	0.5
SBS88	mlp	-2.4994936	0.97	0.906542056074766	0.9
