S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.637898594990837	0.5
SBS1	mlp	1.5112343	0.504060369263771	0.900006839477464	0.9
SBS2.13	mlp	-1.0220435	0.808409669953517	0.500006014603457	0.5
SBS2.13	mlp	0.9383199	0.28309703016512	0.900018549434242	0.9
SBS3	mlp	-1.2873404	0.287267323635226	0.500068073519401	0.5
SBS3	mlp	70.20638	7.82105427811669e-05	1	0.9
SBS5	mlp	-Inf	1	0.954050091631032	0.5
SBS5	mlp	-Inf	1	0.954050091631032	0.9
SBS6	mlp	-1.7331749	0.79	0.501587301587302	0.5
SBS6	mlp	-0.097368956	0.7	0.903225806451613	0.9
SBS17	mlp	-1.8963058	0.4	0.500117952347252	0.5
SBS17	mlp	0.039996624	0.188679245283019	0.9000900090009	0.9
SBS18	mlp	0.27878118	0.294949494949495	0.501718213058419	0.5
SBS18	mlp	3.0429995	0.137373737373737	0.906666666666667	0.9
SBS22	mlp	-2.01939	0.82719836400818	0.500309214594929	0.5
SBS22	mlp	0.506207	0.765848670756646	0.900240384615385	0.9
SBS26	mlp	-20.217583	1	0.50251256281407	0.5
SBS26	mlp	-7.8564396	1	0.900900900900901	0.9
SBS31	mlp	-2.5158272	0.926	0.500540540540541	0.5
SBS31	mlp	-0.21353817	0.84	0.901287553648069	0.9
SBS44	mlp	-2.2594957	0.903333333333333	0.500307692307692	0.5
SBS44	mlp	-0.702353	0.864444444444444	0.900462962962963	0.9
