S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-0.83189166	0.622955974842767	0.500018029062849	0.5
SBS1	mlp	1.8954694	0.087151841868823	0.900232018561485	0.9
SBS2.13	mlp	-0.9295309	0.651649235720032	0.500018156069574	0.5
SBS2.13	mlp	1.2240677	0.189248024229805	0.900067521944632	0.9
SBS3	mlp	-Inf	1	0.748030888030888	0.5
SBS3	mlp	0.92429715	0.848181411513713	0.90000912825194	0.9
SBS5	mlp	-Inf	1	0.685263835263835	0.5
SBS5	mlp	2.1615236	0.0186308573574984	0.900181488203267	0.9
SBS6	mlp	-3.8022914	0.994	0.845238095238095	0.5
SBS6	mlp	-2.4951434	0.984	0.901098901098901	0.9
SBS8	mlp	-Inf	1	0.744079794079794	0.5
SBS8	mlp	1.0391599	0.76405777047479	0.900004074813577	0.9
SBS10	mlp	-23.127174	1	0.50251256281407	0.5
SBS10	mlp	-19.343235	1	0.900900900900901	0.9
SBS14	mlp	-23.429064	1	0.50251256281407	0.5
SBS14	mlp	-18.935255	1	0.900900900900901	0.9
SBS17	mlp	-1.6829652	0.436013590033975	0.500216543958424	0.5
SBS17	mlp	0.4870305	0.269158172895432	0.900252525252525	0.9
SBS18	mlp	-1.1959414	0.985546450261225	0.500006727392597	0.5
SBS18	mlp	1.4539895	0.0462513591640809	0.90036138358286	0.9
SBS26	mlp	-3.7663891	1	0.970873786407767	0.5
SBS26	mlp	-3.7663891	1	0.970873786407767	0.9
SBS31	mlp	-1.2367419	0.378168498168498	0.500096880449525	0.5
SBS31	mlp	1.3395572	0.142710622710623	0.900184842883549	0.9
SBS44	mlp	-4.3577914	1	0.500250125062531	0.5
SBS44	mlp	-3.2273777	0.997	0.90063233965673	0.9
