S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.694187700192184	0.5
SBS1	mlp	0.9480136	0.657777076429436	0.90000037879601	0.9
SBS2.13	mlp	-1.7201558	0.896984134893651	0.500000534162353	0.5
SBS2.13	mlp	0.53173554	0.534131635535692	0.900000645865492	0.9
SBS3	mlp	-1.1288294	0.729387109458783	0.500000765787084	0.5
SBS3	mlp	0.74212825	0.139015246300136	0.900005785865131	0.9
SBS3.8	mlp	-1.032546	0.545397741473722	0.500001735863992	0.5
SBS3.8	mlp	Inf	0	1	0.9
SBS4	mlp	-2.5512853	0.775011943055511	0.500002054696008	0.5
SBS4	mlp	-0.80440784	0.640294276887799	0.900001790638542	0.9
SBS5	mlp	-1.6050375	0.98025179762421	0.50000039076085	0.5
SBS5	mlp	Inf	0	1	0.9
SBS6	mlp	-2.1829884	0.943064516129032	0.500042760626016	0.5
SBS6	mlp	1.7795038	0.856935483870968	0.900050821616127	0.9
SBS7	mlp	-4.4240127	0.951757039392944	0.500004540377578	0.5
SBS7	mlp	-2.7727647	0.929269009385857	0.900006696353835	0.9
SBS8	mlp	-1.2503644	0.432480757726153	0.500001931956492	0.5
SBS8	mlp	0.3772092	0.0136325201947789	0.900044130626655	0.9
SBS8.23	cnn	Inf	0	1	0.5
SBS8.23	cnn	Inf	0	1	0.9
SBS10	mlp	-21.53557	1	0.500032053336752	0.5
SBS10	mlp	-12.479964	1	0.900069236095084	0.9
SBS11	mlp	-4.0377617	1	0.906555090655509	0.5
SBS11	mlp	-4.0377617	1	0.906555090655509	0.9
SBS12	mlp	-1.3853512	0.362267379679144	0.500029524653085	0.5
SBS12	mlp	2.2250307	0.0748663101604278	0.900205761316872	0.9
SBS14	cnn	-3.7527518	0.988125	0.500158177791838	0.5
SBS14	cnn	-0.8411317	0.970625	0.900289855072464	0.9
SBS15	mlp	-4.7660036	0.997142857142857	0.500358422939068	0.5
SBS15	mlp	-2.2782338	0.982857142857143	0.900523560209424	0.9
SBS16	mlp	-2.0028474	0.162648740534693	0.500059389476185	0.5
SBS16	mlp	Inf	0	1	0.9
SBS17	mlp	-2.068305	0.796049678288194	0.500001468519351	0.5
SBS17	mlp	0.23774815	0.571931580128685	0.900000735829758	0.9
SBS18	mlp	-1.3861276	0.877348789033765	0.500000527984777	0.5
SBS18	mlp	1.0751939	0.119771796187833	0.900002784662081	0.9
SBS19	mlp	0.13149738	0.565	0.502222222222222	0.5
SBS19	mlp	2.4128551	0.5	0.900900900900901	0.9
SBS22	mlp	-0.26101446	0.307953772943576	0.500184026499816	0.5
SBS22	mlp	3.2248597	0.210740992522094	0.900290416263311	0.9
SBS23	cnn	Inf	0	1	0.5
SBS23	cnn	Inf	0	1	0.9
SBS24	mlp	1.1670942	0.126666666666667	0.506666666666667	0.5
SBS24	mlp	5.3027325	0.0466666666666667	0.933333333333333	0.9
SBS26	mlp	-3.1530776	0.958620689655172	0.500089944234575	0.5
SBS26	mlp	-0.863044	0.881724137931034	0.900035198873636	0.9
SBS28	mlp	-1.424534	0.20721403812825	0.500043565391653	0.5
SBS28	mlp	Inf	0	1	0.9
SBS30	mlp	-1.545676	0.335	0.503759398496241	0.5
SBS30	mlp	-0.08726978	0.16	0.914285714285714	0.9
SBS31	mlp	-1.4756432	0.0903125295061845	0.500065350934518	0.5
SBS31	mlp	0.6557374	0.0270512699461807	0.900235663786331	0.9
SBS33	mlp	-0.90724325	0.337480559875583	0.500576701268743	0.5
SBS33	mlp	1.1671772	0.228615863141524	0.901840490797546	0.9
SBS35	cnn	Inf	0	1	0.5
SBS35	cnn	Inf	0	1	0.9
SBS38	mlp	-0.50770533	0.341557440246723	0.500080632156104	0.5
SBS38	mlp	2.159805	0.206740830487939	0.900239808153477	0.9
SBS40	mlp	Inf	0	1	0.5
SBS40	mlp	Inf	0	1	0.9
SBS44	mlp	-5.154157	0.984081785080758	0.50000395303791	0.5
SBS44	mlp	-3.3337038	0.959714312389133	0.900050796422232	0.9
SBS52	mlp	0.5761137	0.227979274611399	0.517647058823529	0.5
SBS52	mlp	13.410374	0.0310880829015544	1	0.9
SBS88	mlp	-1.442213	0.671270811713216	0.500002100513786	0.5
SBS88	mlp	0.22026062	0.256954157830619	0.900001975464728	0.9
SBS92	mlp	-1.6593628	0.665127433898013	0.500002490176255	0.5
SBS92	mlp	0.3887341	0.306013607966026	0.900003896964265	0.9
SBS93	mlp	2.2028842	0.0778074317388627	0.500660501981506	0.5
SBS93	mlp	5.3314757	0.0244303017860809	0.901515151515151	0.9
SBS96	mlp	-1.161793	0.985	0.501272264631043	0.5
SBS96	mlp	1.7421865	0.92	0.901960784313726	0.9
SBS109	mlp	0.1835103	0.0472497486715496	0.50076103500761	0.5
SBS109	mlp	2.9554472	0.0175211833979606	0.903703703703704	0.9
SBS120	mlp	-0.37909746	6.34571452745579e-05	0.6	0.5
SBS120	mlp	Inf	0	1	0.9
SBS.A	mlp	2.5140195	0.00735294117647059	0.555555555555556	0.5
SBS.A	mlp	4.842903	0.00294117647058824	1	0.9
SBS.D	mlp	0.8120856	0.538461538461538	0.502392344497608	0.5
SBS.D	mlp	2.7993264	0.523076923076923	0.902654867256637	0.9
