S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.826420765027322	0.5
SBS1	mlp	0.6533755	0.906073329586405	0.900003283964402	0.9
SBS2.13	mlp	-1.1334994	0.91025218937249	0.500018085144862	0.5
SBS2.13	mlp	1.1215014	0.34417593994864	0.900120544170828	0.9
SBS3	cnn	-Inf	1	0.748030888030888	0.5
SBS3	cnn	0.7585672	0.82220157599532	0.900013183419026	0.9
SBS5	cnn	-Inf	1	0.685263835263835	0.5
SBS5	cnn	2.5764213	0.00138980185932951	0.902439024390244	0.9
SBS6	mlp	-106.27075	1	0.50251256281407	0.5
SBS6	mlp	-57.442825	1	0.900900900900901	0.9
SBS17	mlp	-1.7304199	0.725250466972321	0.500058541154432	0.5
SBS17	mlp	0.65332896	0.47597215146884	0.900128452151574	0.9
SBS18	mlp	-Inf	1	0.60448087431694	0.5
SBS18	mlp	1.616716	0.243762429940336	0.900033377837116	0.9
SBS26	mlp	-65.19929	1	0.50251256281407	0.5
SBS26	mlp	-22.563192	1	0.900900900900901	0.9
SBS31	cnn	-1.6807568	0.321758241758242	0.500113869278069	0.5
SBS31	cnn	0.29094064	0.0596336996336996	0.900442477876106	0.9
SBS44	mlp	-49.920452	1	0.50251256281407	0.5
SBS44	mlp	-20.254484	1	0.900900900900901	0.9
