S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.81429061784897	0.5
SBS1	mlp	1.1355917	0.800193904649496	0.900009482268159	0.9
SBS2.13	mlp	-0.8165623	0.397098751066636	0.500048842434307	0.5
SBS2.13	mlp	1.0602326	0.0581801256690714	0.900360144057623	0.9
SBS3	mlp	-Inf	1	0.580995423340961	0.5
SBS3	mlp	1.3843851	0.212706039898383	0.900008332638947	0.9
SBS4	mlp	-64.98247	1	0.50251256281407	0.5
SBS4	mlp	-50.817554	1	0.900900900900901	0.9
SBS5	mlp	-Inf	1	0.743798627002288	0.5
SBS5	mlp	2.1032476	0.315530396258922	0.900004387696898	0.9
SBS6	mlp	-2.0167513	0.806666666666667	0.501035196687371	0.5
SBS6	mlp	0.7285018	0.483333333333333	0.900621118012422	0.9
SBS17	mlp	-1.4476984	0.458899409908055	0.500074771945566	0.5
SBS17	mlp	0.67003536	0.211472485247701	0.900116822429907	0.9
SBS18	mlp	-Inf	1	0.664027459954233	0.5
SBS18	mlp	2.0506668	0.23607760700255	0.900019707022269	0.9
SBS33	mlp	-1.44333	0.649782923299566	0.500557413600892	0.5
SBS33	mlp	1.8757076	0.470332850940666	0.900277008310249	0.9
SBS44	cnn	-7.499941	0.9996	0.500100060036022	0.5
SBS44	cnn	-5.52115	0.9992	0.90018018018018	0.9
