S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.3469718	0.900031240237426	0.665396385472602	0.453052750778522	mlp
SBS1	npv	0.9	-2.6868212	0.740370227865418	0.999942259945724	0.900000000000061	mlp
SBS2.13	precision	0.9	0.3685776	0.900138696255201	0.638919273681908	0.804754020813623	mlp
SBS2.13	npv	0.9	-1.232235	0.605108784436029	0.89138044191643	0.900040265753976	mlp
SBS3.8	precision	0.9	1.5811356	0.900025471217524	0.460630947725199	0.467747122001415	mlp
SBS3.8	npv	0.9	-1.4948671	0.662456201064152	0.998174944596532	0.901408450704228	mlp
SBS4	precision	0.9	-3.9371595	0.900900900900901	1	1	mlp
SBS4	npv	0.9	17.385395	1	0.01	0.995726495726496	mlp
SBS17	precision	0.9	-1.9596082	0.9000154138622	0.985097289393769	0.932706957846623	mlp
SBS17	npv	0.9	-1.0267897	0.938834265848226	0.971937914745248	0.900040064102564	mlp
SBS18	precision	0.9	1.2572553	0.900065919578115	0.481758520923012	0.535596863935255	mlp
SBS18	npv	0.9	-1.8234732	0.611154311387593	0.998306400395173	0.90118577075099	mlp
SBS28	precision	0.9	1.1445435	0.900043936731107	0.603698519118839	0.623697279149472	mlp
SBS28	npv	0.9	-0.7247792	0.768201284796574	0.951521402784941	0.900136591288511	mlp
SBS44	precision	0.9	-1.26103	0.900900900900901	1	1	mlp
SBS44	npv	0.9	12.644227	1	0.01	0.995726495726496	mlp
SBS93	precision	0.9	0.941946	0.902366863905325	0.0772738788953636	0.842084724450418	mlp
SBS93	npv	0.9	-1.4971629	0.387616320687187	0.548771218647074	0.900016841632516	mlp
