S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	0.575004	0.900005188038606	0.818767572633552	0.607025761124122	mlp
SBS1	npv	0.8	-0.3641314	0.785707533793364	0.973758200562324	0.80035650623886	mlp
SBS2.13	precision	0.9	-0.6558292	0.900038299502106	0.909090909090909	0.817735263702172	mlp
SBS2.13	npv	0.9	-1.8981736	0.775033309418879	0.975112830431979	0.900205761316872	mlp
SBS3	precision	0.9	2.8164272	0.904109589041096	0.0220146764509673	0.747764017887857	mlp
SBS3	npv	0.9	-1.9832807	0.324757338323003	0.92628418945964	0.929523809523809	mlp
SBS4	precision	0.9	0.10480428	0.900487804878049	0.495171673819742	0.911764705882353	mlp
SBS4	npv	0.9	0.9600086	0.963975155279503	0.416309012875536	0.900055066079295	mlp
SBS16	precision	0.9	1.1135135	0.900578034682081	0.260622281699565	0.795957918050941	mlp
SBS16	npv	0.9	-1.6886866	0.421676096181047	0.797925727668116	0.900082712985939	mlp
SBS17	precision	0.9	1.2699792	0.900332225913621	0.451666666666667	0.971052631578947	mlp
SBS17	npv	0.9	79.44482	1	0.00166666666666667	0.948717948717949	mlp
SBS18	precision	0.9	1.1810904	0.900239152716092	0.448663374765878	0.630841121495327	mlp
SBS18	npv	0.9	-1.3703429	0.562992125984252	0.973948578239401	0.900064892926671	mlp
SBS31	precision	0.9	0.29081023	0.901140684410646	0.188694267515924	0.910823570554293	mlp
SBS31	npv	0.9	2.412776	0.97979797979798	0.0772292993630573	0.900017238407171	mlp
SBS44	precision	0.9	-11.303801	0.900900900900901	1	1	mlp
SBS44	npv	0.9	37.970108	1	0.01	0.991452991452991	mlp
SBS88	precision	0.9	-2.4994936	0.906542056074766	0.97	0.999741245471796	mlp
SBS88	npv	0.9	118.9856	1	0.01	0.991452991452991	mlp
