S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.668258	0.90004041492658	0.254204398447607	0.363116511794139	mlp
SBS1	npv	0.9	-1.1409085	0.691022470136294	0.99927707176014	0.902564102564103	mlp
SBS2.13	precision	0.9	2.0602202	0.90016583747927	0.125822902178952	0.46410504177798	mlp
SBS2.13	npv	0.9	-1.6393971	0.57556597454789	0.99596662030598	0.900684931506848	mlp
SBS3.8	precision	0.9	Inf	0.714285714285714	0	0	mlp
SBS3.8	npv	0.9	1.1093738	0	0	0.933586387434555	mlp
SBS4	precision	0.9	2.0414906	0.900022747952684	0.330645161290323	0.455268795266755	mlp
SBS4	npv	0.9	-0.912418	0.657228348201917	0.99122513789069	0.900332225913622	mlp
SBS5	precision	0.9	1.4033878	0.905405405405405	0.0174206968278731	0.900883888058331	mlp
SBS5	npv	0.9	2.7608535	0.96875	0.00806032241289652	0.900023579344494	mlp
SBS6	precision	0.9	1.5169601	0.904761904761905	0.855	0.999237083026413	mlp
SBS6	npv	0.9	73.6103	1	0.005	0.994764397905759	mlp
SBS12	precision	0.9	1.595261	0.900024543892661	0.510297801280267	0.593617676495496	mlp
SBS12	npv	0.9	-1.2970606	0.607402322521595	0.985063549494387	0.900586600802717	mlp
SBS16	precision	0.9	1.7221645	0.90002282583885	0.199736588825287	0.532850384387936	mlp
SBS16	npv	0.9	-1.601589	0.539410498426892	0.990071424953143	0.90035587188612	mlp
SBS18	precision	0.9	2.123409	1	0.0010498687664042	0.950155763239875	mlp
SBS18	npv	0.9	3.0686648	1	0.0005249343832021	0.950130890052356	mlp
SBS19	precision	0.9	1.8224764	0.908256880733945	0.49748743718593	0.997374776856033	mlp
SBS19	npv	0.9	107.0175	1	0.0050251256281407	0.99479057591623	mlp
SBS22	precision	0.9	1.1360786	0.901006711409396	0.17935871743487	0.934636351548996	mlp
SBS22	npv	0.9	261.8429	1	0.000334001336005344	0.921623036649215	mlp
SBS23	precision	0.9	-0.63831997	1	0.0114942528735632	0.995471085630514	mlp
SBS23	npv	0.9	-0.0136470795	1	0.00574712643678161	0.99544502617801	mlp
SBS24	precision	0.9	1.035615	0.909090909090909	0.0673400673400673	0.992718510175751	mlp
SBS24	npv	0.9	4.2709203	1	0.00336700336700337	0.992225130890052	mlp
SBS28	precision	0.9	2.4520197	0.901376146788991	0.038122029294791	0.737402356679465	mlp
SBS28	npv	0.9	-1.5679231	0.304619265331862	0.937142302842177	0.90009250693802	mlp
SBS30	precision	0.9	-1.9139214	0.909090909090909	0.1	0.997617177271537	mlp
SBS30	npv	0.9	0.3651986	1	0.01	0.99738219895288	mlp
SBS31	precision	0.9	2.436831	0.905882352941176	0.77	0.999370343162976	mlp
SBS31	npv	0.9	20.272131	1	0.01	0.99738219895288	mlp
SBS92	precision	0.9	Inf	0.4	0	0	mlp
SBS92	npv	0.9	-1.7030292	0.303047091412742	0.130673674151935	0.900016485328058	mlp
