S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	0.7980852	0.90000714574947	0.487353445718487	0.617883443250207	mlp
SBS1	npv	0.8	-4.164202	0.531056921706966	0.99997420386684	0.81818181818168	mlp
SBS2.13	precision	0.9	-0.028268695	0.900017000698918	0.733749133749134	0.81420988158432	mlp
SBS2.13	npv	0.9	-1.8038017	0.58656588015814	0.934503734503734	0.90001880229388	mlp
SBS3	precision	0.9	1.193133	0.900005845902023	0.589465019000488	0.447129948309422	mlp
SBS3	npv	0.9	-1.8495309	0.733747505447468	0.995989317609672	0.900047709923664	mlp
SBS4	precision	0.9	-0.92678374	0.900000833465299	0.968153494418792	0.863489623366641	cnn
SBS4	npv	0.9	-3.093792	0.764535302223228	0.999883444658627	0.901515151515145	cnn
SBS5	precision	0.9	Inf	0.367021276595745	0	0	mlp
SBS5	npv	0.9	-1.3692522	0.282051282051282	0.0078740157480315	0.990431506849315	mlp
SBS7	precision	0.9	-31.77458	0.900900900900901	1	1	mlp
SBS7	npv	0.9	443.34418	1	0.01	0.999315068493151	mlp
SBS17	precision	0.9	0.86286855	0.900017790428749	0.414400393184797	0.949066818635133	mlp
SBS17	npv	0.9	174.46648	1	8.1913499344692e-05	0.916383561643836	mlp
SBS18	precision	0.9	Inf	0.6	0	0	mlp
SBS18	npv	0.9	0.5951774	0	0	0.962472602739726	mlp
SBS31	precision	0.9	2.2855167	0.900966183574879	0.0377912867274569	0.934760658575285	mlp
SBS31	npv	0.9	16.55786	1	0.000101317122593718	0.932397260273973	mlp
SBS33	precision	0.9	2.1329842	0.904761904761905	0.0752475247524752	0.9967936201262	mlp
SBS33	npv	0.9	10.491519	1	0.00198019801980198	0.996541095890411	mlp
SBS44	precision	0.9	-0.03421545	0.90064397424103	0.815833333333333	0.998474957561036	mlp
SBS44	npv	0.9	47.58465	1	0.000833333333333333	0.991780821917808	mlp
SBS92	precision	0.9	0.71438384	0.900005373166407	0.673983240954038	0.547088335173358	mlp
SBS92	npv	0.9	-2.6794086	0.689207213716064	0.997998169179853	0.902581587920116	mlp
