S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.8954694	0.900232018561485	0.087151841868823	0.731011569110211	mlp
SBS1	npv	0.9	-2.5467618	0.291186172318248	0.991419586702606	0.900052328623757	mlp
SBS2.13	precision	0.9	1.2240677	0.900067521944632	0.189248024229805	0.766127931420459	mlp
SBS2.13	npv	0.9	-1.4338498	0.384301125603762	0.854715820358715	0.900013027618551	mlp
SBS3	precision	0.9	0.92429715	0.90000912825194	0.848181411513713	0.615109482683416	mlp
SBS3	npv	0.9	-1.2356982	0.771222139276954	0.995389009325212	0.900186219739292	mlp
SBS5	precision	0.9	2.1615236	0.900181488203267	0.0186308573574984	0.31782399248032	mlp
SBS5	npv	0.9	-2.9410677	0.685272654731721	1	1	mlp
SBS6	precision	0.9	-2.4951434	0.901098901098901	0.984	0.999896312617458	mlp
SBS6	npv	0.9	39.44641	1	0.002	0.993564993564994	mlp
SBS8	precision	0.9	1.0391599	0.900004074813577	0.76405777047479	0.523358607917817	mlp
SBS8	npv	0.9	-2.9535007	0.744484939022034	0.999913517253308	0.909090909090958	mlp
SBS10	precision	0.9	-19.343235	0.900900900900901	1	1	mlp
SBS10	npv	0.9	214.26636	1	0.01	0.998712998712999	mlp
SBS14	precision	0.9	-18.935255	0.900900900900901	1	1	mlp
SBS14	npv	0.9	232.24876	1	0.01	0.998712998712999	mlp
SBS17	precision	0.9	0.4870305	0.900252525252525	0.269158172895432	0.974827393412995	mlp
SBS17	npv	0.9	101.96013	1	0.000377500943752359	0.965907335907336	mlp
SBS18	precision	0.9	1.4539895	0.90036138358286	0.0462513591640809	0.525315453249564	mlp
SBS18	npv	0.9	-1.5464821	0.493396759484356	0.995756756039993	0.900124843945069	mlp
SBS26	precision	0.9	-3.7663891	0.970873786407767	1	1	mlp
SBS26	npv	0.9	345.00174	1	0.005	0.997425997425997	mlp
SBS31	precision	0.9	1.3395572	0.900184842883549	0.142710622710623	0.923635129667576	mlp
SBS31	npv	0.9	14.764746	1	0.000146520146520147	0.912162162162162	mlp
SBS44	precision	0.9	-3.2273777	0.90063233965673	0.997	0.999960832441183	mlp
SBS44	npv	0.9	35.072937	1	0.001	0.987129987129987	mlp
