S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	0.9480136	0.90000037879601	0.657777076429436	0.517770715379874	mlp
SBS1	npv	0.9	-4.2608137	0.694740594877109	0.999866190118925	0.9001377410468	mlp
SBS2.13	precision	0.9	0.53173554	0.900000645865492	0.534131635535692	0.805744886078033	mlp
SBS2.13	npv	0.9	-1.4277459	0.552284772512229	0.855782388543699	0.900000797346431	mlp
SBS3	precision	0.9	0.74212825	0.900005785865131	0.139015246300136	0.741690780746541	mlp
SBS3	npv	0.9	-1.6032996	0.428046174155843	0.849762279259312	0.900000297418998	mlp
SBS3.8	precision	0.9	Inf	0.852582883577486	0	0	mlp
SBS3.8	npv	0.9	-0.9426688	0.521024493154317	0.505975778782577	0.90000015330816	mlp
SBS4	precision	0.9	-0.80440784	0.900001790638542	0.640294276887799	0.961034534388457	mlp
SBS4	npv	0.9	97.99398	1	0.00634415108761426	0.900000320511793	mlp
SBS5	precision	0.85	0.6803609	0.850008299935972	0.109838554730054	0.606559519673751	mlp
SBS5	npv	0.9	-0.99239665	0.548677284054582	0.930400954851402	0.900000660410379	mlp
SBS6	precision	0.9	1.7795038	0.900050821616127	0.856935483870968	0.999429617940477	mlp
SBS6	npv	0.9	34.37413	1	0.000161290322580645	0.996028187059577	mlp
SBS7	precision	0.9	-2.7727647	0.900006696353835	0.929269009385857	0.997274302305986	mlp
SBS7	npv	0.9	17986.375	1	1.72851883221268e-05	0.962938500960922	mlp
SBS8	precision	0.9	0.3772092	0.900044130626655	0.0136325201947789	0.810382988675007	mlp
SBS8	npv	0.9	-1.6060191	0.391980642225981	0.642105403878868	0.900000186765428	mlp
SBS8.23	precision	0.9	Inf	0.2	0	0	cnn
SBS8.23	npv	0.9	-0.25915003	0	0	0.999807815502883	cnn
SBS10	precision	0.9	-12.479964	0.900069236095084	1	1	mlp
SBS10	npv	0.9	1389.8442	1	0.000128205128205128	0.995003203074952	mlp
SBS11	precision	0.9	-4.0377617	0.906555090655509	1	1	mlp
SBS11	npv	0.9	332.1523	1	0.000769230769230769	0.999167200512492	mlp
SBS12	precision	0.9	2.2250307	0.900205761316872	0.0748663101604278	0.986128794521304	mlp
SBS12	npv	0.9	15.05991	1	4.27807486631016e-05	0.985025624599616	mlp
SBS14	precision	0.9	-0.8411317	0.900289855072464	0.970625	0.999969857805802	cnn
SBS14	npv	0.9	47.030003	1	0.000625	0.998975016015375	cnn
SBS15	precision	0.9	-2.2782338	0.900523560209424	0.982857142857143	0.999992308860769	mlp
SBS15	npv	0.9	377.0364	1	0.00142857142857143	0.999551569506726	mlp
SBS16	precision	0.8	-0.3521521	0.800947867298578	0.0195873898933704	0.983736528818843	mlp
SBS16	npv	0.9	3.2579088	0	0	0.983418321588725	mlp
SBS17	precision	0.9	0.23774815	0.900000735829758	0.571931580128685	0.935761700933268	mlp
SBS17	npv	0.9	3.2828827	0.997637697376601	0.300164596737992	0.900000467709034	mlp
SBS18	precision	0.9	1.0751939	0.900002784662081	0.119771796187833	0.680996038756926	mlp
SBS18	npv	0.9	-1.499861	0.480563712845748	0.897526927345732	0.90000018081842	mlp
SBS19	precision	0.9	2.4128551	0.900900900900901	0.5	0.99993593398638	mlp
SBS19	npv	0.9	36.879757	1	0.005	0.999871877001922	mlp
SBS22	precision	0.9	3.2248597	0.900290416263311	0.210740992522094	0.997766620853761	mlp
SBS22	npv	0.9	145.03195	1	0.000226603217765692	0.997172966047405	mlp
SBS23	precision	0.9	Inf	0.00500834724540901	0	0	cnn
SBS23	npv	0.9	-1.8539695	0	0	0.999876361306855	cnn
SBS24	precision	0.9	5.3027325	0.933333333333333	0.0466666666666667	0.999816782469542	mlp
SBS24	npv	0.9	11.090258	1	0.00333333333333333	0.999807815502883	mlp
SBS26	precision	0.9	-0.863044	0.900035198873636	0.881724137931034	0.999779226780305	mlp
SBS26	npv	0.9	304.71268	1	0.000344827586206897	0.998142216527867	mlp
SBS28	precision	0.7	7.3232155	0.700854700854701	0.00296071634893125	0.982308102331756	mlp
SBS28	npv	0.9	14.237084	0	0	0.982257527226137	mlp
SBS30	precision	0.9	-0.08726978	0.914285714285714	0.16	0.999891733708486	mlp
SBS30	npv	0.9	4.3627305	1	0.005	0.999871877001922	mlp
SBS31	precision	0.9	0.6557374	0.900235663786331	0.0270512699461807	0.973572956310331	mlp
SBS31	npv	0.9	21.992096	1	2.36049475970163e-05	0.972860986547085	mlp
