S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.1355917	0.900009482268159	0.800193904649496	0.410528497409326	mlp
SBS1	npv	0.9	-2.201581	0.81429061784897	1	1	mlp
SBS2.13	precision	0.9	1.0602326	0.900360144057623	0.0581801256690714	0.859740319748637	mlp
SBS2.13	npv	0.9	-0.8346306	0.496560947649981	0.403227057637111	0.900003899496965	mlp
SBS3	precision	0.9	1.3843851	0.900008332638947	0.212706039898383	0.469774535809019	mlp
SBS3	npv	0.9	-1.0796889	0.611430795995085	0.989759546269127	0.90003844675125	mlp
SBS4	precision	0.9	-50.817554	0.900900900900901	1	1	mlp
SBS4	npv	0.9	252.77986	1	0.01	0.998855835240275	mlp
SBS5	precision	0.9	2.1032476	0.900004387696898	0.315530396258922	0.311298560594335	mlp
SBS5	npv	0.9	-1.5422004	0.746144571395763	0.999538518336205	0.90506329113924	mlp
SBS6	precision	0.9	0.7285018	0.900621118012422	0.483333333333333	0.998211829436039	mlp
SBS6	npv	0.9	17.444227	1	0.00333333333333333	0.996567505720824	mlp
SBS17	precision	0.9	0.67003536	0.900116822429907	0.211472485247701	0.932943551681079	mlp
SBS17	npv	0.9	43.487568	1	0.000137230684781117	0.91662471395881	mlp
SBS18	precision	0.9	2.0506668	0.900019707022269	0.23607760700255	0.385740807448253	mlp
SBS18	npv	0.9	-0.22503746	0.702068931825399	0.990488662209663	0.900072411296162	mlp
SBS33	precision	0.9	1.8757076	0.900277008310249	0.470332850940666	0.995783547794118	mlp
SBS33	npv	0.9	40.807934	1	0.00144717800289436	0.992093821510297	mlp
SBS44	precision	0.9	-5.52115	0.90018018018018	0.9992	0.999976366601281	cnn
SBS44	npv	0.9	22.183002	1	4e-04	0.971395881006865	cnn
