S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.0295699	0.900012628654417	0.773973718505647	0.571472692644258	mlp
SBS1	npv	0.9	-4.1992946	0.720782778864971	1	1	mlp
SBS2.13	precision	0.9	-1.5742443	0.900002131696191	0.988249613782126	0.879952267303102	mlp
SBS2.13	npv	0.9	-1.7632276	0.883256976259892	0.992790599691026	0.900032456994482	mlp
SBS4	precision	0.9	-1.9882762	0.904109589041096	0.99	0.999960693368971	mlp
SBS4	npv	0.9	36.522465	1	0.005	0.996086105675147	mlp
SBS6	precision	0.9	-6.9914374	0.900900900900901	1	1	mlp
SBS6	npv	0.9	34.9447	1	0.0025	0.992172211350294	mlp
SBS17	precision	0.9	0.36660933	0.900031635558368	0.619420857827128	0.963537755527743	mlp
SBS17	npv	0.9	76.13247	1	0.000217722621380361	0.910117416829746	mlp
SBS31	precision	0.9	1.6895511	0.900900900900901	0.505050505050505	0.998078054520494	mlp
SBS31	npv	0.9	32.69595	1	0.00505050505050505	0.996125244618395	mlp
SBS44	precision	0.9	-2.6793106	0.907407407407407	0.98	0.999960778930441	mlp
SBS44	npv	0.9	23.71302	1	0.01	0.998043052837573	mlp
SBS92	precision	0.9	0.8785595	0.900003577689528	0.727977775205464	0.593952483801296	mlp
SBS92	npv	0.9	-3.2538319	0.676846827433542	0.999855307327237	0.907407407407398	mlp
SBS109	precision	0.9	0.29527247	0.900275103163686	0.369826246645006	0.907413939783786	mlp
SBS109	npv	0.9	0.904451	0.945111492281304	0.31134341008617	0.900018454345998	mlp
