S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.0223528	0.900001379735367	0.701234479422357	0.535944074626533	mlp
SBS1	npv	0.9	-0.9799479	0.717630271095996	0.996574274810528	0.900031370908709	mlp
SBS2.13	precision	0.9	-0.0034857988	0.90000062289384	0.778767119595975	0.826487994589111	mlp
SBS2.13	npv	0.9	-1.5741808	0.704823724595603	0.915917922957102	0.900000641021532	mlp
SBS3	precision	0.9	0.7011822	0.900011178180192	0.424771991374251	0.732048670948875	mlp
SBS3	npv	0.9	-1.2657084	0.541726192825289	0.905228865924993	0.900000695840959	mlp
SBS4	precision	0.9	19.250608	0.900952380952381	0.946	0.999931917211329	cnn
SBS4	npv	0.9	405.44577	1	0.002	0.998740871317049	cnn
SBS5	precision	0.9	1.7291765	0.900001882730964	0.482155645136888	0.3521774241035	mlp
SBS5	npv	0.9	-1.4089651	0.749178209516901	0.99996637898283	0.902912621359087	mlp
SBS6	precision	0.9	Inf	0.670731707317073	0	0	mlp
SBS6	npv	0.9	25.330837	0	0	0.999496348526819	mlp
SBS8	precision	0.9	0.84252983	0.900000928065633	0.49970886043336	0.6644548125108	mlp
SBS8	npv	0.9	-1.511172	0.560099557357259	0.968258057867209	0.90000973773046	mlp
SBS17	precision	0.9	-0.93787336	0.900054024851432	0.613176297386824	0.991944793486367	mlp
SBS17	npv	0.9	2083.0068	1	0.000122684333210649	0.979473684210526	mlp
SBS18	precision	0.9	0.9152683	0.900011354604292	0.246478391472266	0.656831867129658	mlp
SBS18	npv	0.9	-1.4103792	0.485590089803197	0.948331084064605	0.900001203644636	mlp
SBS26	precision	0.9	1.317339	0.900485436893204	0.9275	0.999926894872305	mlp
SBS26	npv	0.9	39.4924	1	0.0025	0.998992697053639	mlp
SBS31	precision	0.9	0.6240413	0.900900900900901	0.0174337517433752	0.957383155899669	mlp
SBS31	npv	0.9	4.900276	1	5.81125058112506e-05	0.956665827247545	mlp
SBS44	precision	0.9	-1.2972504	0.900106837606838	0.702083333333333	0.998190922224837	mlp
SBS44	npv	0.9	61.1526	1	0.000416666666666667	0.993956182321833	mlp
