S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-0.08280492	0.90002202158115	0.75630718618279	0.674654150197628	mlp
SBS1	npv	0.9	-2.1854546	0.650548415315255	0.993913848051814	0.900032351989648	mlp
SBS2.13	precision	0.9	-0.60773706	0.902834008097166	0.583769633507853	0.99793651205648	mlp
SBS2.13	npv	0.9	91.84727	1	0.00261780104712042	0.995058214747736	mlp
SBS3	precision	0.9	1.7029588	0.900552486187845	0.0343001437940589	0.638706291412452	mlp
SBS3	npv	0.9	-1.1059862	0.514788057795162	0.90467506049872	0.900011032250947	mlp
SBS4	precision	0.9	-3.8160024	0.967637540453074	0.996666666666667	0.999987011637573	mlp
SBS4	npv	0.9	53.19009	1	0.00333333333333333	0.996119016817594	mlp
SBS5	precision	0.9	1.355928	0.900026677337602	0.282239511440164	0.449179064952574	mlp
SBS5	npv	0.9	-1.5613875	0.647754137115839	0.991383276864517	0.900048520135856	mlp
SBS6	precision	0.9	-1.3382249	0.900900900900901	1	1	mlp
SBS6	npv	0.9	70.97038	1	0.005	0.997412677878396	mlp
SBS7	precision	0.9	-3.927172	0.900900900900901	1	1	mlp
SBS7	npv	0.9	339.59964	1	0.00333333333333333	0.996119016817594	mlp
SBS8	precision	0.9	0.37155604	0.900013457139012	0.705619210398599	0.65249339909331	mlp
SBS8	npv	0.9	-1.809742	0.681589559351859	0.980798041822287	0.900065890621568	mlp
SBS11	precision	0.9	-3.7883797	0.995405819295559	1	1	mlp
SBS11	npv	0.9	540.8911	1	0.000769230769230769	0.983182406209573	mlp
SBS14	precision	0.9	-53.241173	0.900900900900901	1	1	mlp
SBS14	npv	0.9	2167.4995	1	0.002	0.99353169469599	mlp
SBS17	precision	0.9	-3.7981281	0.980392156862745	1	1	mlp
SBS17	npv	0.9	97.41905	1	0.01	0.998706338939198	mlp
SBS18	precision	0.9	1.8459733	0.903225806451613	0.00320659642693541	0.887343082697036	mlp
SBS18	npv	0.9	-0.55093217	0.533649698015531	0.141662849289968	0.900030673619354	mlp
SBS26	precision	0.9	1.3065524	0.902912621359223	0.93	0.999909324075753	mlp
SBS26	npv	0.9	13.334597	1	0.01	0.998706338939198	mlp
SBS120	precision	0.9	1.5499699	0.900010833062507	0.354315933128625	0.485358350753752	mlp
SBS120	npv	0.9	-1.3648391	0.705049974510682	0.973217331968611	0.900063653723743	mlp
