S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-156.23459	0.935252595155709	1	1	mlp
SBS1	npv	0.9	-31.402431	0.935426040008306	0.999977801456225	0.901639344262416	mlp
SBS2.13	precision	0.9	0.27943742	0.900016733601071	0.266658403569658	0.893217445289461	mlp
SBS2.13	npv	0.9	-0.07320368	0.842057469027697	0.321814576103123	0.900001462073805	mlp
SBS3.8	precision	0.9	1.0409095	0.900000667775173	0.747000105308082	0.67218671454219	mlp
SBS3.8	npv	0.9	-1.1488503	0.679349239122123	0.984780210948715	0.900003641527985	mlp
SBS4	precision	0.9	3.797639	0.907563025210084	0.54	0.999681530867275	mlp
SBS4	npv	0.9	188.7188	1	0.005	0.999307958477509	mlp
SBS6	precision	0.9	0.36817265	0.90016177490178	0.97375	0.999631157042793	mlp
SBS6	npv	0.9	192.51958	1	0.00025	0.986159169550173	mlp
SBS10	precision	0.9	-33.24361	0.900032144005143	1	1	mlp
SBS10	npv	0.9	2845.0366	1	0.000357142857142857	0.990311418685121	mlp
SBS14	precision	0.9	-3.7344124	0.980392156862745	1	1	mlp
SBS14	npv	0.9	79.712456	1	0.005	0.999307958477509	mlp
SBS15	precision	0.9	1.6452837	0.900537634408602	0.957142857142857	0.999895926204741	mlp
SBS15	npv	0.9	342.14987	1	0.00142857142857143	0.99757785467128	mlp
SBS17	precision	0.9	-0.04970193	0.900007247352128	0.750844310084215	0.850083673745154	mlp
SBS17	npv	0.9	-1.5535126	0.586864905457358	0.9045044266897	0.900002713385129	mlp
SBS18	precision	0.9	0.81120133	0.900002926672227	0.729457741300377	0.700499583133653	mlp
SBS18	npv	0.9	-0.5451173	0.686236091764982	0.969963469886377	0.900005922650189	mlp
SBS26	precision	0.9	-5.0358157	0.900193798449612	0.929	0.999753444827203	cnn
SBS26	npv	0.9	617.9671	1	0.001	0.996539792387543	cnn
SBS30	precision	0.9	2.565456	0.903846153846154	0.47	0.999813115809364	mlp
SBS30	npv	0.9	11.538366	1	0.01	0.999653979238754	mlp
SBS44	precision	0.9	-2.3063679	0.90056738950726	0.990504201680672	0.998172012444529	mlp
SBS44	npv	0.9	51.950592	1	0.211680672268908	0.900001421241881	mlp
SBS88	precision	0.9	0.9832684	0.90000642907657	0.503814870798244	0.577247987734764	mlp
SBS88	npv	0.9	-0.86252236	0.644986021203481	0.978346409462799	0.900022149620688	mlp
