S	measure	min_value	threshold	precision	recall	npv	engine
SBS5	precision	0.9	0.75853145	0.903225806451613	0.0396039603960396	0.654822335025381	mlp
SBS5	npv	0.9	-1.8305376	0.376701143168209	0.978783592644979	0.902439024390244	mlp
SBS17	precision	0.9	1.6965274	0.902255639097744	0.344827586206897	0.877408993576017	mlp
SBS17	npv	0.9	0.41731393	0.802816901408451	0.491379310344828	0.900447427293065	mlp
SBS18	precision	0.9	1.5282296	0.901639344262295	0.185185185185185	0.741883980840873	mlp
SBS18	npv	0.9	-1.0538993	0.478427612655801	0.84006734006734	0.900835073068894	mlp
SBS35	precision	0.9	0.49067056	0.902985074626866	0.272522522522523	0.826995179432244	mlp
SBS35	npv	0.9	-1.6756114	0.560377358490566	0.668918918918919	0.90006798096533	mlp
SBS40	precision	0.9	1.144885	0.900542495479204	0.497005988023952	0.651243093922652	mlp
SBS40	npv	0.9	-0.54821205	0.621586475942783	0.954091816367265	0.900862068965517	mlp
SBS52	precision	0.9	1.1305203	0.906542056074766	0.497435897435897	0.948257655755016	mlp
SBS52	npv	0.9	13.613011	1	0.00512820512820513	0.9025	mlp
SBS.A	precision	0.9	2.0300825	0.901408450704225	0.100156494522692	0.701554404145078	mlp
SBS.A	npv	0.9	-1.5390292	0.368807339449541	0.943661971830986	0.901639344262295	mlp
