S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.7477455	0.900003337115397	0.515255435405602	0.510971484740144	mlp
SBS1	npv	0.9	-1.3849081	0.641471489883507	0.999426846509495	0.900166389351075	mlp
SBS2.13	precision	0.9	0.66837716	0.900017885888034	0.293833696667705	0.753076336709136	mlp
SBS2.13	npv	0.9	-1.5479345	0.446039183124765	0.878308938025537	0.900007995522507	mlp
SBS3	precision	0.9	18.693228	1	7.83146683373796e-05	0.921997556505803	mlp
SBS3	npv	0.9	18.693228	1	7.83146683373796e-05	0.921997556505803	mlp
SBS5	precision	0.9	-65.23315	0.954294441050702	1	1	mlp
SBS5	npv	0.9	-1.870561	0.955496965841245	0.999865572469242	0.908296943231429	mlp
SBS6	precision	0.9	3.8515615	0.901785714285714	0.505	0.99938871195496	mlp
SBS6	npv	0.9	116.649734	1	0.005	0.998778252901649	mlp
SBS17	precision	0.9	0.6163826	0.900274473924977	0.18433870363432	0.973223949621175	mlp
SBS17	npv	0.9	5357.872	1	0.000187336080929187	0.967391569945021	mlp
SBS18	precision	0.9	2.6081805	0.902439024390244	0.149193548387097	0.997420837433305	mlp
SBS18	npv	0.9	18.561205	1	0.00201612903225806	0.99697006719609	mlp
SBS22	precision	0.9	-0.73296356	0.900355871886121	0.779260780287474	0.998673691191099	mlp
SBS22	npv	0.9	1118.4811	1	0.00102669404517454	0.994050091631032	mlp
SBS26	precision	0.9	-1.5452075	0.99	0.99	0.999993887567924	mlp
SBS26	npv	0.9	781.70776	1	0.01	0.999389126450825	mlp
SBS31	precision	0.9	0.61998415	0.900826446280992	0.872	0.999607883982673	mlp
SBS31	npv	0.9	63.06095	1	0.002	0.996945632254123	mlp
SBS44	precision	0.9	-0.8879757	0.901146131805158	0.699666295884316	0.998337453911891	mlp
SBS44	npv	0.9	249.2095	1	0.00111234705228031	0.994508246792914	mlp
