S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	0.88285244	0.90002341372044	0.899511934211406	0.551461813842482	mlp
SBS1	npv	0.9	-0.8315793	0.824739137635952	0.998763120946714	0.901333333333335	mlp
SBS2.13	precision	0.9	1.1008234	0.900156924284033	0.316068599765824	0.684760181570009	mlp
SBS2.13	npv	0.9	-1.3347516	0.44166144200627	0.970383635236587	0.908530099978728	mlp
SBS3	precision	0.9	1.4814798	0.900050075112669	0.383110239577117	0.456266907123535	mlp
SBS3	npv	0.9	-2.7851582	0.641016532313158	1	1	mlp
SBS5	precision	0.9	2.0635026	0.900862068965517	0.0306856555571869	0.448349812003899	mlp
SBS5	npv	0.9	-1.6069669	0.562155609433546	0.998580727254931	0.901639344262297	mlp
SBS6	precision	0.9	-36.79095	0.900900900900901	1	1	mlp
SBS6	npv	0.9	39.55669	1	0.01	0.997267759562842	mlp
SBS17	precision	0.9	1.4079847	0.900142146410803	0.437251855687899	0.903513185544736	mlp
SBS17	npv	0.9	1.7211595	0.919001919385797	0.413257379596064	0.900017649135192	mlp
SBS18	precision	0.9	1.2360339	0.900096618357488	0.219882930513595	0.474097880735696	mlp
SBS18	npv	0.9	-1.0979326	0.589301169835553	0.996365181268882	0.900510204081633	mlp
SBS26	precision	0.9	-2.6639137	0.961538461538462	1	1	mlp
SBS26	npv	0.9	36.055344	1	0.01	0.997267759562842	mlp
SBS31	precision	0.9	-0.31032586	0.928571428571429	0.0108786610878661	0.967666110913712	mlp
SBS31	npv	0.9	0.554811	1	0.000836820083682008	0.967349726775956	mlp
SBS44	precision	0.9	-17.252903	0.900900900900901	1	1	mlp
SBS44	npv	0.9	58.078327	1	0.01	0.997267759562842	mlp
