S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.3328741	0.900010332022585	0.217897349799664	0.491048987607322	mlp
SBS1	npv	0.9	-1.218674	0.573128949271496	0.995890283972107	0.900225056264065	mlp
SBS2.13	precision	0.9	1.1306144	0.9000170039109	0.230586595220981	0.780513113664183	mlp
SBS2.13	npv	0.9	-1.1651043	0.496943824585233	0.780979764316365	0.900001989020606	mlp
SBS3	precision	0.9	1.539542	0.900007691716022	0.170112235403582	0.642554790231684	mlp
SBS3	npv	0.9	-0.93481016	0.51507142914696	0.929358571760875	0.900004115903853	mlp
SBS5	precision	0.9	2.0937252	0.900562851782364	0.00509429757065685	0.4555085730217	mlp
SBS5	npv	0.9	-9.230482	0.545587724377533	1	1	mlp
SBS7	precision	0.9	-2.2679605	0.900234192037471	0.838934962898298	0.997836614565623	mlp
SBS7	npv	0.9	1047.0638	1	0.000436490615451768	0.98673422119282	mlp
SBS8	precision	0.9	1.1388901	0.900001814519787	0.474745637795879	0.533310655667999	mlp
SBS8	npv	0.9	-1.6325092	0.627821960755832	0.992850100979163	0.900026730820637	mlp
SBS11	precision	0.9	-22.335129	0.900900900900901	1	1	mlp
SBS11	npv	0.9	296.69717	1	0.01	0.999420961204401	mlp
SBS17	precision	0.9	0.4730239	0.900087314456779	0.472870249017038	0.951148866920891	mlp
SBS17	npv	0.9	112.135994	1	6.55307994757536e-05	0.911638679791546	mlp
SBS18	precision	0.9	1.1131282	0.900037160906726	0.165567214683665	0.698481508240859	mlp
SBS18	npv	0.9	-1.1811494	0.471296237948201	0.894708958539837	0.900012983219189	mlp
SBS26	precision	0.9	-2.6765242	0.900900900900901	1	1	mlp
SBS26	npv	0.9	27.471233	1	0.005	0.998841922408801	mlp
SBS30	precision	0.9	3.6209192	0.901098901098901	0.513784461152882	0.99774160212719	mlp
SBS30	npv	0.9	38.801727	1	0.0012531328320802	0.995379270411118	mlp
SBS31	precision	0.9	1.7504897	0.900621118012422	0.321507760532151	0.99109345185461	mlp
SBS31	npv	0.9	34.8269	1	0.000443458980044346	0.986942675159236	mlp
SBS44	precision	0.9	-1.927834	0.900406504065041	0.949285714285714	0.999585340925683	mlp
SBS44	npv	0.9	13.895887	1	0.000714285714285714	0.99189345686161	mlp
SBS96	precision	0.9	-1.0380578	0.900908340214699	0.910684474123539	0.999376060551283	mlp
SBS96	npv	0.9	86.27897	1	0.000834724540901503	0.99306311522872	mlp
