S	measure	min_value	threshold	precision	recall	npv	engine
SBS2.13	precision	0.9	-0.013701916	0.900269541778976	0.770769230769231	0.938925831202046	mlp
SBS2.13	npv	0.9	3.099839	0.992989165073295	0.599230769230769	0.900019171779141	mlp
SBS3.8	precision	0.9	-1.4821868	0.900057770075101	0.865555555555556	0.976436222005842	mlp
SBS3.8	npv	0.9	13.283009	1	0.371111111111111	0.900026471366805	mlp
SBS4	precision	0.9	-126.87452	0.933333333333333	1	1	cnn
SBS4	npv	0.9	1.3998489	0.99677216892316	0.992589285714286	0.900943396226416	cnn
SBS5	precision	0.9	-2.1146028	0.900763358778626	0.917777777777778	0.993233489714904	mlp
SBS5	npv	0.9	1326.0975	1	0.00111111111111111	0.925	mlp
SBS31	precision	0.9	-0.32434702	0.900677200902935	0.399	0.94791486416335	mlp
SBS31	npv	0.9	413.77142	1	0.001	0.916666666666667	mlp
SBS44	precision	0.9	-2.2350502	0.900501206608502	0.898333333333333	0.991647816251958	mlp
SBS44	npv	0.9	3986.2942	1	0.00166666666666667	0.95	mlp
SBS.D	precision	0.9	-4.146439	0.923386359480709	0.505	0.991595226088418	mlp
SBS.D	npv	0.9	4584.6953	1	0.005	0.983333333333333	mlp
