S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.3650504	0.900032421917216	0.495213177142178	0.849862064087147	mlp
SBS1	npv	0.9	0.005096376	0.82461603793616	0.692810846167568	0.900003870568199	mlp
SBS2.13	precision	0.9	-0.2668401	0.900208986415883	0.406080603346689	0.960555355549642	mlp
SBS2.13	npv	0.9	116.911575	1	0.000235682300259251	0.935516717325228	mlp
SBS4	precision	0.9	-2.212136	0.900900900900901	1	1	mlp
SBS4	npv	0.9	64.59061	1	0.005	0.996960486322188	mlp
SBS5	precision	0.9	Inf	0.571428571428571	0	0	mlp
SBS5	npv	0.9	-0.35634708	0.571428571428571	0.00736648250460405	0.991747720364742	mlp
SBS6	precision	0.9	-3.967126	0.902912621359223	0.93	0.99989345185546	mlp
SBS6	npv	0.9	-0.582242	1	0.01	0.998480243161094	mlp
SBS7	precision	0.9	-2.7513225	0.900014528079549	0.994612626433808	0.921599169262721	mlp
SBS7	npv	0.9	-2.565783	0.921210310544573	0.990099363148224	0.900036023054755	mlp
SBS8.23	precision	0.9	1.5023775	1	0.0136054421768707	0.995577305956199	mlp
SBS8.23	npv	0.9	2.1065817	1	0.00340136054421769	0.995531914893617	mlp
SBS17	precision	0.9	0.44407988	0.900053951982735	0.428470527802748	0.847551681024886	mlp
SBS17	npv	0.9	-1.0363978	0.626367838960735	0.687299345062283	0.900004105764493	mlp
SBS18	precision	0.9	Inf	0.785714285714286	0	0	mlp
SBS18	npv	0.9	0.37388945	0	0	0.980729483282675	mlp
SBS38	precision	0.9	0.75109315	0.900041135335253	0.312259169402027	0.923938772289727	mlp
SBS38	npv	0.9	10.642383	0.9979035639413	0.0679320679320679	0.90000612332374	mlp
SBS96	precision	0.9	-0.6071005	0.902325581395349	0.97	0.999908517061568	mlp
SBS96	npv	0.9	43.58205	1	0.005	0.996960486322188	mlp
