S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.5460799	0.900016876371205	0.751868038911603	0.447544642857143	mlp
SBS1	npv	0.9	-2.001092	0.779347481012967	0.999843351034666	0.902912621359198	mlp
SBS2.13	precision	0.9	0.29701626	0.900024491795249	0.654251531120923	0.842318059299191	mlp
SBS2.13	npv	0.9	-0.94533587	0.756145850519716	0.815945022076627	0.900011606313835	mlp
SBS3.8	precision	0.9	1.2394348	0.900007577096962	0.660953758833676	0.568949254857574	mlp
SBS3.8	npv	0.9	-0.7308382	0.731307830410164	0.982212082429099	0.900010426441456	mlp
SBS5	precision	0.9	1.7739863	1	0.000230627306273063	0.947121951219512	mlp
SBS5	npv	0.9	1.7739863	1	0.000230627306273063	0.947121951219512	mlp
SBS10	precision	0.9	-97.56998	0.900073475385746	1	1	mlp
SBS10	npv	0.9	2267.297	1	0.000204081632653061	0.940243902439024	mlp
SBS14	precision	0.9	-1.9777131	0.900364520048603	0.92625	0.999273202099091	mlp
SBS14	npv	0.9	180.63237	1	0.00125	0.990243902439024	mlp
SBS17	precision	0.9	0.41825128	0.90009250693802	0.229616519174041	0.918222923633813	mlp
SBS17	npv	0.9	32.53083	1	0.0362241887905605	0.900004896320415	mlp
SBS18	precision	0.9	1.6785166	0.900023663038334	0.200701809930874	0.588084134386599	mlp
SBS18	npv	0.9	-1.3672956	0.529467900520532	0.966123159727719	0.900007787555486	mlp
SBS26	precision	0.9	-4.743991	0.96231884057971	0.996	0.999950596546699	mlp
SBS26	npv	0.9	426.7061	1	0.001	0.98780487804878	mlp
SBS31	precision	0.9	1.2487197	0.901162790697674	0.0987890376035691	0.965355082846541	mlp
SBS31	npv	0.9	13.47784	1	0.000318674314850223	0.961731707317073	mlp
SBS44	precision	0.9	-3.082055	0.903077482762198	0.988724489795918	0.996303051215064	mlp
SBS44	npv	0.9	12.034155	1	0.646326530612245	0.90000432694388	mlp
