S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-367.56097	0.942505190311419	1	1	mlp
SBS1	npv	0.9	-3.975251	0.95125336503164	0.998909627584586	0.900033658700773	mlp
SBS2.13	precision	0.9	0.0502007	0.900009069472157	0.77014415707883	0.951624560529529	mlp
SBS2.13	npv	0.9	3.8645933	0.995530770447714	0.488368483343358	0.900002654360546	mlp
SBS3.8	precision	0.9	-1.3688645	0.900003823031855	0.984624151740435	0.963119019851272	mlp
SBS3.8	npv	0.9	0.27996325	0.956553848750844	0.948022208977697	0.900003017106997	mlp
SBS4	precision	0.9	-1.0816741	0.900900900900901	1	1	mlp
SBS4	npv	0.9	2381.5593	1	0.005	0.999307958477509	mlp
SBS6	precision	0.9	-4.330687	0.998501498501498	0.9995	0.999992982357647	mlp
SBS6	npv	0.9	806.9592	1	0.00025	0.986159169550173	mlp
SBS10	precision	0.9	-31.32471	0.900032144005143	1	1	mlp
SBS10	npv	0.9	11067.897	1	0.000357142857142857	0.990311418685121	mlp
SBS14	precision	0.9	-14.144312	0.900900900900901	1	1	mlp
SBS14	npv	0.9	876.21564	1	0.005	0.999307958477509	mlp
SBS15	precision	0.9	7.6249256	1	1	0.999996531402943	mlp
SBS15	npv	0.9	584.63806	1	0.00142857142857143	0.99757785467128	mlp
SBS17	precision	0.9	-1.585528	0.9080558922609	0.976122338044382	0.980670044717104	mlp
SBS17	npv	0.9	3.7914548	0.999476381044994	0.85447975954467	0.900001647871774	mlp
SBS18	precision	0.9	-1.5836176	0.900200442561299	0.984807694395293	0.968470440336285	mlp
SBS18	npv	0.9	0.42594016	0.97078839383815	0.93996352543992	0.900002712158607	mlp
SBS26	precision	0.9	6.459621	1	1	0.999996527789834	mlp
SBS26	npv	0.9	7925.025	1	0.001	0.996539792387543	mlp
SBS30	precision	0.9	-3.6486735	0.900900900900901	1	1	mlp
SBS30	npv	0.9	28.668423	1	0.01	0.999653979238754	mlp
SBS44	precision	0.9	-4.715044	0.900007588596868	0.996638655462185	0.99951897638174	cnn
SBS44	npv	0.9	11.464984	1	0.211680672268908	0.900001421241881	cnn
SBS88	precision	0.9	-0.34313285	0.900019995927587	0.932672003404165	0.865638539302661	mlp
SBS88	npv	0.9	-0.91333354	0.828714326934967	0.96241589319433	0.900005660590966	mlp
