S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-2.4567761	0.900358691269118	0.990501389072629	0.962389833982373	mlp
SBS1	npv	0.9	0.4664024	0.967922674526674	0.964439740706443	0.900014878738283	mlp
SBS2.13	precision	0.9	-4.3655844	0.902192851612514	0.999513888888889	0.993491124260355	mlp
SBS2.13	npv	0.9	0.71488595	0.998231424057349	0.979907407407407	0.900046008741661	mlp
SBS4	precision	0.9	-6.1587224	0.952380952380952	1	1	mlp
SBS4	npv	0.9	288.15897	1	0.005	0.996086105675147	mlp
SBS6	precision	0.9	-12.934992	0.900900900900901	1	1	mlp
SBS6	npv	0.9	396.10187	1	0.0025	0.992172211350294	mlp
SBS17	precision	0.9	-3.1743038	0.900038971161341	0.982765957446809	0.998237942961561	mlp
SBS17	npv	0.9	16942.576	1	0.000212765957446809	0.908023483365949	mlp
SBS31	precision	0.9	-0.37579584	0.902702702702703	0.835	0.999351873674287	cnn
SBS31	npv	0.9	508.8911	1	0.005	0.996086105675147	cnn
SBS44	precision	0.9	-21.182558	0.900900900900901	1	1	mlp
SBS44	npv	0.9	64.72583	1	0.01	0.998043052837573	mlp
SBS92	precision	0.9	-1.0885768	0.900020747964106	0.972072829131653	0.92051343378777	mlp
SBS92	npv	0.9	0.1865089	0.953410517505928	0.957282913165266	0.900039328788673	mlp
SBS109	precision	0.9	-1.3292997	0.90011068068622	0.891232876712329	0.98190230893716	mlp
SBS109	npv	0.9	33.386585	1	0.333561643835616	0.900012328936013	mlp
