S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-3.1044183	0.900027784326546	0.996987091483696	0.972868371703308	mlp
SBS1	npv	0.9	0.18704605	0.977513536077791	0.978104969609857	0.900007012130986	mlp
SBS2.13	precision	0.9	-1.7382741	0.900002050146586	0.982718249260153	0.974806808688388	mlp
SBS2.13	npv	0.9	1.4518933	0.995955604341993	0.913989711538031	0.900003122950564	mlp
SBS3	precision	0.9	0.20550466	0.900003966297801	0.832101378287906	0.854723634946105	mlp
SBS3	npv	0.9	-0.8269193	0.812406636853291	0.903142664061313	0.900001081712567	mlp
SBS4	precision	0.9	-6.8839326	0.900900900900901	1	1	mlp
SBS4	npv	0.9	90.51476	1	0.002	0.998740871317049	mlp
SBS5	precision	0.9	-1.7806461	0.900031040138908	0.994018829067373	0.91419088480531	mlp
SBS5	npv	0.9	-1.4679761	0.908348682155513	0.992433068549573	0.900027198197148	mlp
SBS6	precision	0.9	-4.3259444	0.980392156862745	1	1	mlp
SBS6	npv	0.9	183.97073	1	0.005	0.999496348526819	mlp
SBS8	precision	0.9	0.40010083	0.900002457344593	0.868951445484418	0.783300094811521	mlp
SBS8	npv	0.9	-1.3796198	0.787666084959372	0.96556223827657	0.90000459273888	mlp
SBS17	precision	0.9	-2.3932238	0.900091194649914	0.987	0.999697855549128	mlp
SBS17	npv	0.9	7935.942	1	0.000111111111111111	0.977335683706875	mlp
SBS18	precision	0.9	0.16307122	0.900003269698767	0.869670599492674	0.842225184958528	mlp
SBS18	npv	0.9	-1.0884598	0.809795739930443	0.936403766124737	0.900005677463309	mlp
SBS26	precision	0.9	-4.9689307	0.954653937947494	1	1	mlp
SBS26	npv	0.9	182.20564	1	0.0025	0.998992697053639	mlp
SBS31	precision	0.9	-0.112454414	0.900019153418885	0.391615967997333	0.962238044375018	mlp
SBS31	npv	0.9	87.78195	1	4.16701391782649e-05	0.939566859733065	mlp
SBS44	precision	0.9	-3.8628843	0.900923076923077	0.965833333333333	0.999734045921404	mlp
SBS44	npv	0.9	273.22296	1	0.000416666666666667	0.993956182321833	mlp
