S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-0.061685205	0.90000312392615	0.939982707711382	0.722946004970254	mlp
SBS1	npv	0.9	-37.899254	0.793180641821946	0.999967373040343	0.904761904761867	mlp
SBS2.13	precision	0.9	-2.9330478	0.900269541778976	0.835	0.999129078382946	mlp
SBS2.13	npv	0.9	400.79446	1	0.0025	0.994825355756792	mlp
SBS3	precision	0.9	0.32178265	0.900014469686008	0.510282213957559	0.68342525809645	mlp
SBS3	npv	0.9	-1.1272875	0.656743503610178	0.930266900021877	0.900011763321962	mlp
SBS4	precision	0.9	-3.2612662	0.993377483443709	1	1	mlp
SBS4	npv	0.9	54.465702	1	0.00333333333333333	0.996119016817594	mlp
SBS5	precision	0.9	1.2998805	0.900005243563526	0.85150152136526	0.552966945440064	cnn
SBS5	npv	0.9	NA	NA	NA	NA	cnn
SBS6	precision	0.9	-2.9615884	0.900900900900901	1	1	mlp
SBS6	npv	0.9	100.88633	1	0.005	0.997412677878396	mlp
SBS7	precision	0.9	77.94898	1	1	0.999987013155673	mlp
SBS7	npv	0.9	1116.0295	1	0.00333333333333333	0.996119016817594	mlp
SBS8	precision	0.9	0.020665765	0.900009263547939	0.857057163020466	0.652619394666895	mlp
SBS8	npv	0.9	-10.436433	0.733347997101749	0.999982357092449	0.923076923077069	mlp
SBS11	precision	0.9	195.83102	1	1	0.999986842278391	mlp
SBS11	npv	0.9	2035.9452	1	0.000769230769230769	0.983182406209573	mlp
SBS14	precision	0.9	-50.35004	0.900900900900901	1	1	mlp
SBS14	npv	0.9	32387.139	1	0.002	0.99353169469599	mlp
SBS17	precision	0.9	76.3756	1	1	0.999987046799912	mlp
SBS17	npv	0.9	102.904106	1	0.01	0.998706338939198	mlp
SBS18	precision	0.9	0.16570878	0.900122299225438	0.316763503335485	0.868416327094413	mlp
SBS18	npv	0.9	-0.53629255	0.789391921881935	0.510293379241087	0.900013179282168	mlp
SBS26	precision	0.9	16.037695	1	1	0.999987046799912	mlp
SBS26	npv	0.9	60.90619	1	0.01	0.998706338939198	mlp
SBS120	precision	0.9	-0.12550092	0.90000323666494	0.919663971159729	0.686762524985492	mlp
SBS120	npv	0.9	-1.4236357	0.809162050233959	0.995171239106349	0.900307272106522	mlp
