S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-1.2945322	0.900028977108085	0.980842105263158	0.864935064935065	mlp
SBS1	npv	0.9	-32.35673	0.815056440190566	0.999473684210526	0.901960784313721	mlp
SBS2.13	precision	0.9	-1.6340171	0.900017238407171	0.975979063463875	0.978218493092635	mlp
SBS2.13	npv	0.9	3.2123258	0.997209701652715	0.868492382465651	0.900021302279344	mlp
SBS3.8	precision	0.9	0.08570391	0.900005687958592	0.941845238095238	0.83213058419244	mlp
SBS3.8	npv	0.9	-1.1801585	0.839856740854439	0.977083333333333	0.900155601659751	mlp
SBS4	precision	0.9	-28.729458	0.900900900900901	1	1	mlp
SBS4	npv	0.9	321.22922	1	0.01	0.995726495726496	mlp
SBS17	precision	0.9	-6.517197	0.900014610626796	0.998918918918919	0.99302649930265	mlp
SBS17	npv	0.9	1.3133693	0.99888759107848	0.970756756756757	0.900036886757654	mlp
SBS18	precision	0.9	-0.2431536	0.900047681487662	0.937950310559006	0.84901102219538	mlp
SBS18	npv	0.9	-1.2707309	0.844551455470187	0.969503105590062	0.900182964017077	mlp
SBS28	precision	0.9	-0.34158632	0.90000666178136	0.912899520237854	0.846245530393325	mlp
SBS28	npv	0.9	-0.936216	0.86084142394822	0.952631934590175	0.900056947608201	mlp
SBS44	precision	0.9	-23.081327	0.900900900900901	1	1	mlp
SBS44	npv	0.9	261.25327	1	0.01	0.995726495726496	mlp
SBS93	precision	0.9	-0.5646448	0.90008079719903	0.655679811653914	0.910859406745226	mlp
SBS93	npv	0.9	-0.17746484	0.941427699816962	0.605454188738474	0.90001490831387	mlp
