S	measure	min_value	threshold	precision	recall	npv	engine
SBS5	precision	0.9	0.2566352	0.900924702774108	0.682682682682683	0.744372990353698	mlp
SBS5	npv	0.9	-1.8801314	0.556125356125356	0.976976976976977	0.902439024390244	mlp
SBS17	precision	0.9	-0.4502927	0.900862068965517	0.839357429718876	0.947950553025374	mlp
SBS17	npv	0.9	2.496554	1	0.668674698795181	0.900479616306955	mlp
SBS18	precision	0.9	-0.054740787	0.900462962962963	0.864444444444444	0.891820580474934	mlp
SBS18	npv	0.9	-0.17545938	0.888513513513513	0.876666666666667	0.900269541778976	mlp
SBS35	precision	0.9	-0.67487293	0.900921658986175	0.872767857142857	0.898499558693733	mlp
SBS35	npv	0.9	-0.7221353	0.892938496583144	0.875	0.90026714158504	mlp
SBS40	precision	0.9	-0.5509061	0.900346620450607	0.865833333333333	0.809917355371901	mlp
SBS40	npv	0.9	-2.6960092	0.727272727272727	0.966666666666667	0.901477832512315	mlp
SBS52	precision	0.9	-2.7451282	0.900900900900901	1	1	mlp
SBS52	npv	0.9	349.9227	1	0.01	0.900450225112556	mlp
SBS.A	precision	0.9	-0.3964843	0.900826446280992	0.95375	0.967071057192374	mlp
SBS.A	npv	0.9	1.7471775	0.985272459499264	0.83625	0.900151285930408	mlp
