S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-1.890516	0.900075886110752	0.99125	0.961934617107031	mlp
SBS1	npv	0.9	0.2515505	0.948826343308488	0.969204545454545	0.900073746312684	mlp
SBS2.13	precision	0.9	-1.8769006	0.900032562683165	0.988672946226303	0.961816720257235	mlp
SBS2.13	npv	0.9	0.061406016	0.992825333993073	0.95695719565995	0.90019353055018	mlp
SBS3	precision	0.9	-0.051127434	0.900183486238532	0.7665625	0.91677807486631	mlp
SBS3	npv	0.9	0.5196371	0.937731958762887	0.710625	0.90006468305304	mlp
SBS4	precision	0.9	-0.9584122	0.900109769484083	0.781324440209624	0.953436582650066	mlp
SBS4	npv	0.9	5.573907	0.998069498069498	0.492615531205336	0.900046882325363	mlp
SBS16	precision	0.9	0.5883877	0.900139178844816	0.699945887445887	0.87436275065141	mlp
SBS16	npv	0.9	-0.25035352	0.800166297117517	0.781114718614719	0.900037069072038	mlp
SBS17	precision	0.9	-5.050947	0.990066225165563	0.996666666666667	0.999819754866619	mlp
SBS17	npv	0.9	166.01555	1	0.00166666666666667	0.948717948717949	mlp
SBS18	precision	0.9	0.26569423	0.900033433634236	0.854603174603175	0.839657282741738	mlp
SBS18	npv	0.9	-0.9597102	0.800218340611354	0.930793650793651	0.900068602789847	mlp
SBS31	precision	0.9	-0.07569921	0.90030518819939	0.632142857142857	0.951949990669901	mlp
SBS31	npv	0.9	76.64163	1	0.183571428571429	0.900034952813701	mlp
SBS44	precision	0.9	6.458841	1	1	0.999913800534437	mlp
SBS44	npv	0.9	18.822104	1	0.01	0.991452991452991	mlp
SBS88	precision	0.9	-5.9868507	0.970873786407767	1	1	mlp
SBS88	npv	0.9	87.468056	1	0.01	0.991452991452991	mlp
