S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-1.1652409	0.900007158253068	0.970488344568518	0.9093805962288	mlp
SBS1	npv	0.9	-0.87801087	0.914494908863372	0.965153776222577	0.900009841551029	mlp
SBS2.13	precision	0.9	-0.11687899	0.900003294784356	0.885460056078705	0.931387683375567	mlp
SBS2.13	npv	0.9	0.98811615	0.953564568975257	0.820758845362161	0.900004521000045	mlp
SBS3	precision	0.9	-0.052239418	0.900042571306939	0.744646379261764	0.97613782937166	mlp
SBS3	npv	0.9	792.5018	1	7.04423781346858e-05	0.913280390959071	mlp
SBS5	precision	0.9	-125.80919	0.965174098961515	1	1	cnn
SBS5	npv	0.9	-3.2517467	0.972016303812432	0.999189868290306	0.900389105058367	cnn
SBS6	precision	0.9	-5.538632	0.900900900900901	1	1	cnn
SBS6	npv	0.9	5245.8784	1	0.005	0.998778252901649	cnn
SBS17	precision	0.9	-0.5639591	0.900110812094349	0.902539682539683	0.996098713973466	mlp
SBS17	npv	0.9	2863.6416	1	0.000158730158730159	0.961514966401955	mlp
SBS18	precision	0.9	-1.7148161	0.900952380952381	0.946	0.999834534490366	mlp
SBS18	npv	0.9	54.385742	1	0.002	0.996945632254123	mlp
SBS22	precision	0.9	-4.8450613	0.900487804878049	0.923	0.999526666502742	mlp
SBS22	npv	0.9	3224.3823	1	0.001	0.993891264508247	mlp
SBS26	precision	0.9	-83.371704	0.900900900900901	1	1	mlp
SBS26	npv	0.9	0.99800366	1	1	0.999389126450825	mlp
SBS31	precision	0.9	-7.552821	0.900900900900901	1	1	mlp
SBS31	npv	0.9	224.5718	1	0.002	0.996945632254123	mlp
SBS44	precision	0.9	-5.330965	0.954035874439462	0.945555555555556	0.9996990319886	mlp
SBS44	npv	0.9	3339.5762	1	0.00111111111111111	0.994502138057422	mlp
