S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	0.17131177	0.900026156321715	0.955047643166925	0.696100680833505	mlp
SBS1	npv	0.9	-11.149751	0.827317967522263	0.999936686821362	0.904761904761856	mlp
SBS2.13	precision	0.9	0.08647323	0.900024838549429	0.826653992395437	0.675400498398006	mlp
SBS2.13	npv	0.9	-2.8426256	0.726305232072213	0.991254752851711	0.900303424360642	mlp
SBS3.8	precision	0.9	2.061569	0.900363636363636	0.399354838709677	0.949410742410254	mlp
SBS3.8	npv	0.9	20.702625	1	0.00032258064516129	0.918848167539267	mlp
SBS4	precision	0.9	0.12242293	0.900021861109087	0.885408079142622	0.702649930264993	mlp
SBS4	npv	0.9	-2.25352	0.778494744850517	0.990286390193197	0.900073746312684	mlp
SBS5	precision	0.9	1.4178638	0.900219298245614	0.200243902439024	0.912038402746118	cnn
SBS5	npv	0.9	2.7288604	0.96319018404908	0.0765853658536585	0.900013201320132	cnn
SBS6	precision	0.9	-14.609692	0.900900900900901	1	1	mlp
SBS6	npv	0.9	191.59831	1	0.005	0.994764397905759	mlp
SBS12	precision	0.9	-0.9219722	0.900007538711282	0.936926510705133	0.882294757665678	mlp
SBS12	npv	0.9	-1.3751473	0.869410876132931	0.951558237579565	0.900008531695248	mlp
SBS16	precision	0.9	0.2578826	0.900008311861026	0.887540983606557	0.805856142584341	cnn
SBS16	npv	0.9	-1.6009092	0.801308481275769	0.963770491803279	0.900045177320985	cnn
SBS18	precision	0.9	0.9411228	0.900977995110024	0.335	0.960837813979616	mlp
SBS18	npv	0.9	16.678122	1	0.000454545454545455	0.942408376963351	mlp
SBS19	precision	0.9	-4.537153	0.902325581395349	0.97	0.999842047069973	mlp
SBS19	npv	0.9	266.4753	1	0.005	0.994764397905759	mlp
SBS22	precision	0.9	-0.9890051	0.900271370420624	0.69860489602527	0.96752049470967	mlp
SBS22	npv	0.9	661.4304	1	0.000263227165043432	0.900549738219895	mlp
SBS23	precision	0.9	2.1771612	0.902173913043478	0.415	0.996929859088404	mlp
SBS23	npv	0.9	13.216056	1	0.005	0.994764397905759	mlp
SBS24	precision	0.9	-1.8178115	0.901538461538462	0.976666666666667	0.999815186397719	mlp
SBS24	npv	0.9	27.996708	1	0.00333333333333333	0.992146596858639	mlp
SBS28	precision	0.9	0.74644077	0.900077373715044	0.54297526171901	0.764869314673801	mlp
SBS28	npv	0.9	-1.524288	0.606075697211155	0.892645195705808	0.900018618506796	mlp
SBS30	precision	0.9	-4.724399	0.900900900900901	1	1	mlp
SBS30	npv	0.9	62.60537	1	0.01	0.99738219895288	mlp
SBS31	precision	0.9	-11.136236	0.900900900900901	1	1	mlp
SBS31	npv	0.9	24.841276	1	0.01	0.99738219895288	mlp
SBS92	precision	0.9	6.4379373	0.909090909090909	0.0125026047093144	0.875704733184738	mlp
SBS92	npv	0.9	2.2434163	0.873717442778216	0.230673056886851	0.90001083012942	mlp
