S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-0.18643121	0.900006213367024	0.942952000694384	0.893638110650349	mlp
SBS1	npv	0.9	-0.3724068	0.889247268065363	0.948235830223071	0.900018860411995	mlp
SBS2.13	precision	0.9	-1.0748487	0.900002479482284	0.938102499160055	0.926674727192029	mlp
SBS2.13	npv	0.9	-0.15324771	0.959271373633141	0.905758147468534	0.90000274228048	mlp
SBS3	precision	0.9	0.062014833	0.9000065317853	0.924919658664698	0.619563831143987	mlp
SBS3	npv	0.9	NA	NA	NA	NA	mlp
SBS4	precision	0.9	-1.4937345	0.900000775608659	0.981567794818004	0.872290568248389	mlp
SBS4	npv	0.9	-2.4133048	0.86590089290994	0.990940389284113	0.900028003360403	mlp
SBS5	precision	0.9	1.2720604	0.941176470588235	0.00762267746545974	0.985724462954844	mlp
SBS5	npv	0.9	2.5332475	1	0.000476417341591234	0.985623287671233	mlp
SBS7	precision	0.9	-17.140095	0.900900900900901	1	1	mlp
SBS7	npv	0.9	1729.1309	1	0.01	0.999315068493151	mlp
SBS17	precision	0.9	-1.2251706	0.90003451846738	0.850257614295963	0.982542048115819	mlp
SBS17	npv	0.9	364.34412	1	0.0532185482293093	0.900003443881944	mlp
SBS18	precision	0.9	0.07452154	0.900290416263311	0.150048402710552	0.963654047789857	mlp
SBS18	npv	0.9	22.02407	1	0.00016134236850597	0.957547945205479	mlp
SBS31	precision	0.9	0.42915344	0.90001424298533	0.532754405193491	0.960123758814218	mlp
SBS31	npv	0.9	195.63367	1	8.43099232779698e-05	0.918760273972603	mlp
SBS33	precision	0.9	0.9643307	0.900943396226415	0.636666666666667	0.998502510698805	mlp
SBS33	npv	0.9	56.153534	1	0.00166666666666667	0.995890410958904	mlp
SBS44	precision	0.9	-1.9992652	0.900225056264066	1	1	cnn
SBS44	npv	0.9	471.41553	1	0.000833333333333333	0.991780821917808	cnn
SBS92	precision	0.9	0.1295824	0.90000676258263	0.912448043878819	0.6312312745912	mlp
SBS92	npv	0.9	-1221.5364	0.799217802861663	1	1	mlp
