S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	0.5405483	0.900017909913137	0.837541666666667	0.929578991095779	mlp
SBS1	npv	0.9	1.8343687	0.955160967385004	0.755333333333333	0.900003405878546	mlp
SBS2.13	precision	0.9	0.17684603	0.900009545628102	0.693399521970951	0.85305467937761	mlp
SBS2.13	npv	0.9	-0.8597626	0.77993629458504	0.819341790770362	0.900004070666775	mlp
SBS3	precision	0.9	-1.2687464	0.900008435733768	0.981870053377508	0.820228136882129	mlp
SBS3	npv	0.9	-15.559301	0.843916783253018	0.999248420148475	0.900990099009895	mlp
SBS5	precision	0.9	0.06565287	0.900010322403055	0.897324185248714	0.694150702426565	mlp
SBS5	npv	0.9	-5.4311886	0.756010801267072	0.998867924528302	0.900445765230311	mlp
SBS6	precision	0.9	13.040553	1	1	0.999987046799912	mlp
SBS6	npv	0.9	152.97163	1	0.002	0.993564993564994	mlp
SBS8	precision	0.9	-1.0095066	0.900008590327292	0.971606980015147	0.76613621896881	mlp
SBS8	npv	0.9	-10.867183	0.832929937945773	0.999969087621138	0.925925925925954	mlp
SBS10	precision	0.9	-40.956604	0.900900900900901	1	1	mlp
SBS10	npv	0.9	35020.25	1	0.01	0.998712998712999	mlp
SBS14	precision	0.9	-24.627935	0.900900900900901	1	1	mlp
SBS14	npv	0.9	1142.9841	1	0.01	0.998712998712999	mlp
SBS17	precision	0.9	-2.331373	0.900142146410803	0.767575757575758	0.989757901905538	mlp
SBS17	npv	0.9	975.1847	1	0.000303030303030303	0.957528957528958	mlp
SBS18	precision	0.9	0.5073067	0.900013678019423	0.744377573645866	0.725392504739221	mlp
SBS18	npv	0.9	-1.9173704	0.688363078413955	0.964297027014797	0.90003800836184	mlp
SBS26	precision	0.9	8.703285	1	1	0.999987096940685	mlp
SBS26	npv	0.9	60.756638	1	0.005	0.997425997425997	mlp
SBS31	precision	0.9	-1.0966895	0.90007806401249	0.844998167827043	0.98187531243305	mlp
SBS31	npv	0.9	51.57823	1	0.0567973616709417	0.900007768398156	mlp
SBS44	precision	0.9	-408.43585	0.9000900090009	1	1	mlp
SBS44	npv	0.9	0.12480583	0.909008189262966	0.999	0.987129987129987	mlp
