S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	-0.46568847	0.900000355122464	0.959006610738382	0.827900208428651	mlp
SBS1	npv	0.9	-1.0841329	0.863820373499534	0.983476559691524	0.900002290058855	mlp
SBS2.13	precision	0.9	-0.902308	0.900000604874685	0.875173148014716	0.920021254806121	mlp
SBS2.13	npv	0.9	-0.38219762	0.940037519975913	0.835568940113579	0.900000268282802	mlp
SBS3	precision	0.9	0.5905243	0.90000170773776	0.42762948633894	0.753344252389651	mlp
SBS3	npv	0.9	-1.1980113	0.613933597824489	0.860614342003622	0.900000465709788	mlp
SBS3.8	precision	0.9	-0.022973955	0.900001406944679	0.468642282825693	0.9082223961421	mlp
SBS3.8	npv	0.9	0.3877111	0.938552602003014	0.412967270462829	0.900000124798606	mlp
SBS4	precision	0.9	-1.904892	0.9000033666633	0.889385712764825	0.989439621493267	mlp
SBS4	npv	0.9	1709.4637	1	6.65389119557117e-06	0.912760202008475	mlp
SBS5	precision	0.9	1.2339983	0.900000931367527	0.566787689672769	0.688583605429327	mlp
SBS5	npv	0.9	-0.6635301	0.72320757759559	0.925947997254987	0.900000475230209	mlp
SBS6	precision	0.9	Inf	0.0818027165678743	0	0	mlp
SBS6	npv	0.9	-2.0838523	0.0818027165678743	0.992741935483871	0.996400998432693	mlp
SBS7	precision	0.9	-2.3149579	0.900003056608387	0.954858690188575	0.998320127873025	mlp
SBS7	npv	0.9	31521.537	1	1.62145509380118e-05	0.964199802635398	mlp
SBS8	precision	0.9	1.1816046	0.900002915508562	0.366073334440149	0.788556303789624	mlp
SBS8	npv	0.9	-0.67743146	0.638317128296463	0.782030453240993	0.900000181351285	mlp
SBS8.23	precision	0.9	16.120342	1	0.0133333333333333	0.99982759591501	mlp
SBS8.23	npv	0.9	26.230988	1	0.00333333333333333	0.999825854762872	mlp
SBS10	precision	0.9	-16.234997	0.900069236095084	1	1	mlp
SBS10	npv	0.9	60611.906	1	0.000128205128205128	0.995472223834678	mlp
SBS11	precision	0.9	-4.1825466	0.997861724875267	1	1	mlp
SBS11	npv	0.9	758.3663	1	0.000714285714285714	0.999187322226737	mlp
SBS12	precision	0.9	-0.12819386	0.900040818177695	0.82004132231405	0.997438629419775	mlp
SBS12	npv	0.9	147.6584	1	4.13223140495868e-05	0.985952284205027	mlp
SBS14	precision	0.9	Inf	0.169369369369369	0	0	mlp
SBS14	npv	0.9	-0.4073963	0.169369369369369	0.99875	0.999071225401985	mlp
SBS15	precision	0.9	Inf	0.41318814277072	0	0	mlp
SBS15	npv	0.9	-1.7159206	0.40964590964591	0.958571428571429	0.999593661113369	mlp
SBS16	precision	0.9	1.0673085	0.900035936751318	0.534882893144444	0.99233999900352	mlp
SBS16	npv	0.9	85.94339	1	3.55947889229017e-05	0.983691879027109	mlp
SBS17	precision	0.9	-1.5713753	0.900000385458947	0.942730708356213	0.990306641973115	mlp
